"Liga","Mecz","MatchId","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"3.10","Projekt Warszawa vs Indykpol AZS Olsztyn 3:0","1038826","2026-06-02 17:00","Torwar","Projekt Warszawa","Yordanov, Stoyan","1684269","1","0","5","1","0","59.3","0","0","0","0","0","6","1","1","5","1","33","0","0","0","0","0","1","12","26","18","2","32","8","15","8","1","3.2","{""sets"":[{""h"":25,""a"":11},{""h"":25,""a"":10},{""h"":25,""a"":17}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""25 : 11"",""txt"":""Koniec seta 1 : 0""},{""type"":""end"",""score"":""25 : 11"",""txt"":""Koniec seta 1 : 0""},{""type"":""rally"",""score"":""25 : 11"",""speed"":""57.3 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""24 : 11"",""speed"":""67.1 km/h"",""res"":""Punkt: E. Teixidó""},{""type"":""tmo"",""score"":""23 : 11"",""txt"":""Czas dla: Indykpol AZS Olsztyn ""},{""type"":""rally"",""score"":""23 : 11"",""speed"":""68.5 km/h"",""res"":""Punkt: G. Guangpeng""},{""type"":""rally"",""score"":""22 : 11"",""speed"":""57.7 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""21 : 11"",""speed"":""51.0 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""20 : 11"",""speed"":""49.8 km/h"",""res"":""Punkt: B. Jędrychowski""},{""type"":""rally"",""score"":""19 : 11"",""speed"":""52.3 km/h"",""res"":""Punkt: B. Jędrychowski""},{""type"":""rally"",""score"":""18 : 11"",""speed"":""60.3 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""tmo"",""score"":""17 : 11"",""txt"":""Czas dla: Indykpol AZS Olsztyn ""},{""type"":""rally"",""score"":""17 : 11"",""speed"":""54.7 km/h"",""res"":""Błąd: I. Suwała""},{""type"":""chg"",""score"":""16 : 11"",""txt"":""Zmiana: A. Bojanowski ⇄ M. Poznański""},{""type"":""tmo"",""score"":""16 : 11"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 11"",""speed"":""58.6 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""15 : 11"",""speed"":""73.4 km/h"",""res"":""Punkt: E. Teixidó""},{""type"":""rally"",""score"":""14 : 11"",""speed"":""50.9 km/h"",""res"":""Punkt: H. Chunxian""},{""type"":""rally"",""score"":""13 : 11"",""speed"":""46.9 km/h"",""res"":""Punkt: S. Kotlarczyk""},{""type"":""rally"",""score"":""13 : 10"",""speed"":""60.5 km/h"",""res"":""Punkt: E. Teixidó""},{""type"":""rally"",""score"":""12 : 10"",""speed"":""52.0 km/h"",""res"":""Punkt: B. Jędrychowski""},{""type"":""rally"",""score"":""11 : 10"",""speed"":""52.8 km/h"",""res"":""Błąd: S. Yordanov""},{""type"":""rally"",""score"":""11 : 9"",""speed"":""59.3 km/h"",""res"":""Punkt: H. Chunxian""},{""type"":""rally"",""score"":""10 : 9"",""speed"":""53.7 km/h"",""res"":""Punkt: H. Chunxian""},{""type"":""rally"",""score"":""9 : 9"",""speed"":""96.1 km/h"",""res"":""Punkt: G. Giza""},{""type"":""rally"",""score"":""9 : 8"",""speed"":""53.6 km/h"",""res"":""Punkt: H. Chunxian""},{""type"":""rally"",""score"":""8 : 8"",""speed"":""66.1 km/h"",""res"":""Punkt: M. Poznański""},{""type"":""tmo"",""score"":""8 : 7"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 7"",""speed"":""53.5 km/h"",""res"":""Punkt: H. Chunxian""},{""type"":""rally"",""score"":""7 : 7"",""speed"":""57.8 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""6 : 7"",""speed"":""48.3 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""5 : 7"",""speed"":""52.0 km/h"",""res"":""Punkt: M. Guimarães""},{""type"":""rally"",""score"":""5 : 6"",""speed"":""48.7 km/h"",""res"":""Punkt: I. Suwała""},{""type"":""rally"",""score"":""5 : 5"",""speed"":""56.2 km/h"",""res"":""Punkt: I. Suwała""},{""type"":""rally"",""score"":""5 : 4"",""speed"":""45.6 km/h"",""res"":""Punkt: B. Jędrychowski""},{""type"":""rally"",""score"":""4 : 4"",""speed"":""59.5 km/h"",""res"":""Punkt: G. Giza""},{""type"":""rally"",""score"":""4 : 3"",""speed"":""54.9 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""3 : 3"",""speed"":""53.1 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""2 : 3"",""speed"":""55.4 km/h"",""res"":""Punkt: H. Chunxian""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""67.3 km/h"",""res"":""Błąd: E. Teixidó""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""54.7 km/h"",""res"":""Punkt: M. Poznański""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""55.5 km/h"",""res"":""Punkt: E. Teixidó""},{""type"":""tmo"",""score"":""0 : 1"",""txt"":""Czas dla: Projekt Warszawa""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""53.1 km/h"",""res"":""Punkt: S. Kotlarczyk""}]},{""rallies"":[{""type"":""end"",""score"":""25 : 10"",""txt"":""Koniec seta 2 : 0""},{""type"":""end"",""score"":""25 : 10"",""txt"":""Koniec seta 2 : 0""},{""type"":""rally"",""score"":""25 : 10"",""speed"":""85.5 km/h"",""res"":""Punkt: H. Chunxian""},{""type"":""rally"",""score"":""24 : 10"",""speed"":""57.7 km/h"",""res"":""Punkt: S. Yordanov""},{""type"":""chg"",""score"":""23 : 10"",""txt"":""Zmiana: M. Poznański ⇄ A. Bojanowski""},{""type"":""tmo"",""score"":""23 : 10"",""txt"":""Czas dla: Indykpol AZS Olsztyn ""},{""type"":""rally"",""score"":""23 : 10"",""speed"":""72.1 km/h"",""res"":""Punkt: E. Teixidó""},{""type"":""rally"",""score"":""22 : 10"",""speed"":""42.7 km/h"",""res"":""Punkt: H. Chunxian""},{""type"":""rally"",""score"":""21 : 10"",""speed"":""54.7 km/h"",""res"":""Punkt: M. Guimarães""},{""type"":""rally"",""score"":""21 : 9"",""speed"":""54.0 km/h"",""res"":""Punkt: H. Chunxian""},{""type"":""rally"",""score"":""20 : 9"",""speed"":""51.6 km/h"",""res"":""Punkt: H. Chunxian""},{""type"":""rally"",""score"":""19 : 9"",""speed"":""-"",""res"":""Błąd: G. Giza""},{""type"":""rally"",""score"":""18 : 9"",""speed"":""51.6 km/h"",""res"":""Punkt: G. Giza""},{""type"":""rally"",""score"":""18 : 8"",""speed"":""55.2 km/h"",""res"":""Punkt: G. Guangpeng""},{""type"":""rally"",""score"":""17 : 8"",""speed"":""62.7 km/h"",""res"":""Punkt: G. Giza""},{""type"":""rally"",""score"":""17 : 7"",""speed"":""69.9 km/h"",""res"":""Punkt: E. Teixidó""},{""type"":""tmo"",""score"":""16 : 7"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 7"",""speed"":""56.2 km/h"",""res"":""Punkt: G. Guangpeng""},{""type"":""rally"",""score"":""15 : 7"",""speed"":""64.1 km/h"",""res"":""Punkt: E. Teixidó""},{""type"":""chg"",""score"":""14 : 7"",""txt"":""Zmiana: A. Bojanowski ⇄ M. Poznański""},{""type"":""rally"",""score"":""14 : 7"",""speed"":""59.0 km/h"",""res"":""Punkt: G. Guangpeng""},{""type"":""rally"",""score"":""13 : 7"",""speed"":""61.9 km/h"",""res"":""Punkt: G. Giza""},{""type"":""rally"",""score"":""13 : 6"",""speed"":""53.5 km/h"",""res"":""Błąd: G. Giza""},{""type"":""rally"",""score"":""12 : 6"",""speed"":""53.5 km/h"",""res"":""Punkt: E. Teixidó""},{""type"":""rally"",""score"":""11 : 6"",""speed"":""-"",""res"":""Błąd: S. Yordanov""},{""type"":""rally"",""score"":""11 : 5"",""speed"":""44.2 km/h"",""res"":""Punkt: E. Teixidó""},{""type"":""rally"",""score"":""10 : 5"",""speed"":""69.7 km/h"",""res"":""Punkt: M. Guimarães""},{""type"":""rally"",""score"":""10 : 4"",""speed"":""51.7 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""9 : 4"",""speed"":""60.6 km/h"",""res"":""Punkt: M. Guimarães""},{""type"":""tmo"",""score"":""9 : 3"",""txt"":""Czas dla: Indykpol AZS Olsztyn ""},{""type"":""rally"",""score"":""9 : 3"",""speed"":""56.8 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""tmo"",""score"":""8 : 3"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 3"",""speed"":""46.2 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""7 : 3"",""speed"":""72.0 km/h"",""res"":""Błąd: M. Poznański""},{""type"":""rally"",""score"":""6 : 3"",""speed"":""46.2 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""5 : 3"",""speed"":""60.9 km/h"",""res"":""Punkt: I. Suwała""},{""type"":""rally"",""score"":""5 : 2"",""speed"":""50.8 km/h"",""res"":""Punkt: G. Guangpeng""},{""type"":""rally"",""score"":""4 : 2"",""speed"":""56.3 km/h"",""res"":""Punkt: H. Krauze""},{""type"":""rally"",""score"":""3 : 2"",""speed"":""50.5 km/h"",""res"":""Punkt: S. Kotlarczyk""},{""type"":""rally"",""score"":""3 : 1"",""speed"":""49.4 km/h"",""res"":""Punkt: G. Guangpeng""},{""type"":""rally"",""score"":""2 : 1"",""speed"":""58.0 km/h"",""res"":""Punkt: E. Teixidó""},{""type"":""tmo"",""score"":""1 : 1"",""txt"":""Czas dla: Projekt Warszawa""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""61.5 km/h"",""res"":""Punkt: G. Giza""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: K. Wojciechowski ⇄ W. Minguang""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: H. Krauze ⇄ B. Jędrychowski""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""52.9 km/h"",""res"":""Punkt: G. Guangpeng""}]},{""rallies"":[{""type"":""end"",""score"":""25 : 17"",""txt"":""Koniec seta 3 : 0""},{""type"":""end"",""score"":""25 : 17"",""txt"":""Koniec seta 3 : 0""},{""type"":""rally"",""score"":""25 : 17"",""speed"":""52.3 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""24 : 17"",""speed"":""-"",""res"":""Błąd: A. Bojanowski""},{""type"":""rally"",""score"":""23 : 17"",""speed"":""48.5 km/h"",""res"":""Punkt: M. Guimarães""},{""type"":""tmo"",""score"":""23 : 16"",""txt"":""Czas dla: Indykpol AZS Olsztyn ""},{""type"":""rally"",""score"":""23 : 16"",""speed"":""42.4 km/h"",""res"":""Punkt: R. Grygiel""},{""type"":""rally"",""score"":""22 : 16"",""speed"":""56.4 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""21 : 16"",""speed"":""56.5 km/h"",""res"":""Błąd: A. Zawadzki""},{""type"":""rally"",""score"":""21 : 15"",""speed"":""49.9 km/h"",""res"":""Punkt: G. Giza""},{""type"":""rally"",""score"":""21 : 14"",""speed"":""46.3 km/h"",""res"":""Punkt: J. Piegza""},{""type"":""rally"",""score"":""20 : 14"",""speed"":""45.9 km/h"",""res"":""Punkt: G. Giza""},{""type"":""rally"",""score"":""20 : 13"",""speed"":""52.8 km/h"",""res"":""Punkt: G. Guangpeng""},{""type"":""rally"",""score"":""19 : 13"",""speed"":""59.4 km/h"",""res"":""Błąd: J. Piegza""},{""type"":""rally"",""score"":""19 : 12"",""speed"":""65.0 km/h"",""res"":""Punkt: S. Kotlarczyk""},{""type"":""rally"",""score"":""19 : 11"",""speed"":""43.2 km/h"",""res"":""Punkt: K. Fołta""},{""type"":""rally"",""score"":""18 : 11"",""speed"":""43.2 km/h"",""res"":""Punkt: K. Fołta""},{""type"":""rally"",""score"":""17 : 11"",""speed"":""42.9 km/h"",""res"":""Błąd: J. Piegza""},{""type"":""rally"",""score"":""17 : 10"",""speed"":""49.3 km/h"",""res"":""Błąd: J. Piegza""},{""type"":""rally"",""score"":""17 : 9"",""speed"":""97.2 km/h"",""res"":""Punkt: A. Bojanowski""},{""type"":""rally"",""score"":""17 : 8"",""speed"":""76.2 km/h"",""res"":""Punkt: J. Piegza""},{""type"":""chg"",""score"":""16 : 8"",""txt"":""Zmiana: A. Bojanowski ⇄ M. Poznański""},{""type"":""tmo"",""score"":""16 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 8"",""speed"":""80.1 km/h"",""res"":""Błąd: M. Poznański""},{""type"":""rally"",""score"":""15 : 8"",""speed"":""98.4 km/h"",""res"":""Punkt: K. Fołta""},{""type"":""rally"",""score"":""14 : 8"",""speed"":""84.0 km/h"",""res"":""Punkt: K. Fołta""},{""type"":""rally"",""score"":""13 : 8"",""speed"":""74.9 km/h"",""res"":""Punkt: J. Piegza""},{""type"":""rally"",""score"":""12 : 8"",""speed"":""57.2 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""11 : 8"",""speed"":""46.8 km/h"",""res"":""Punkt: I. Suwała""},{""type"":""rally"",""score"":""11 : 7"",""speed"":""55.2 km/h"",""res"":""Punkt: S. Kotlarczyk""},{""type"":""rally"",""score"":""11 : 6"",""speed"":""48.8 km/h"",""res"":""Punkt: S. Kotlarczyk""},{""type"":""rally"",""score"":""11 : 5"",""speed"":""49.5 km/h"",""res"":""Punkt: G. Giza""},{""type"":""rally"",""score"":""11 : 4"",""speed"":""43.8 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""10 : 4"",""speed"":""42.4 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""9 : 4"",""speed"":""46.4 km/h"",""res"":""Punkt: M. Guimarães""},{""type"":""rally"",""score"":""9 : 3"",""speed"":""48.8 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""tmo"",""score"":""8 : 3"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 3"",""speed"":""49.6 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""7 : 3"",""speed"":""61.6 km/h"",""res"":""Punkt: I. Suwała""},{""type"":""tmo"",""score"":""7 : 2"",""txt"":""Czas dla: Indykpol AZS Olsztyn ""},{""type"":""rally"",""score"":""7 : 2"",""speed"":""60.7 km/h"",""res"":""Punkt: G. Guangpeng""},{""type"":""rally"",""score"":""6 : 2"",""speed"":""53.2 km/h"",""res"":""Punkt: A. Zawadzki""},{""type"":""rally"",""score"":""5 : 2"",""speed"":""48.9 km/h"",""res"":""Punkt: J. Piegza""},{""type"":""rally"",""score"":""4 : 2"",""speed"":""-"",""res"":""Błąd: K. Fołta""},{""type"":""rally"",""score"":""4 : 1"",""speed"":""57.1 km/h"",""res"":""Punkt: J. Piegza""},{""type"":""rally"",""score"":""3 : 1"",""speed"":""54.0 km/h"",""res"":""Punkt: J. Piegza""},{""type"":""tmo"",""score"":""2 : 1"",""txt"":""Czas dla: Projekt Warszawa""},{""type"":""rally"",""score"":""2 : 1"",""speed"":""49.5 km/h"",""res"":""Punkt: S. Kotlarczyk""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""58.0 km/h"",""res"":""Punkt: K. Fołta""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: K. Fołta ⇄ H. Chunxian""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: J. Piegza ⇄ E. Teixidó""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: R. Grygiel ⇄ S. Yordanov""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""46.1 km/h"",""res"":""Punkt: B. Jędrychowski""}]}]}","1","3","0","1","0","1","12","26","1","0","11","0","0","1","59.3","52.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","2","0","1","11","32","0","0","0","0","0","1","1","0","0","0","0","1","0","1","0","0","0","3","20","16","1","0","0","bulk-1.24-matchid-column","0","0","0"
"3.10","Projekt Warszawa vs Indykpol AZS Olsztyn 3:0","1038826","2026-06-02 17:00","Torwar","Projekt Warszawa","Chunxian, Hu","1927728","10","10","6","0","0","61.9","3","0","3","100","100","6","3","1","3","2","50","9","0","100","5","56","7","18","25","0","0","0","0","0","0","0","34.2","","2","3","0","0","0","0","18","25","7","2","17","0","0","1","61.9","56.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","2","4","3","0","9","1","1","0","0","0","0","2","1","0","0","1","0","2","13","12","0","0","0","bulk-1.24-matchid-column","0","0","0"
"3.10","Projekt Warszawa vs Indykpol AZS Olsztyn 3:0","1038826","2026-06-02 17:00","Torwar","Projekt Warszawa","Teixidó, Enrique","1951023","10","9","20","0","4","68.5","9","1","5","56","44","3","1","1","2","2","100","0","0","0","0","0","1","15","20","1","1","2","0","0","1","1","25.1","","2","2","0","0","0","0","15","20","1","0","13","0","1","2","73.4","58.6","0","0","0","0","1","1","1","0","0","0","0","1","0","0","0","0","0","0","4","1","0","0","2","7","0","0","0","0","0","0","1","1","0","0","0","2","0","0","0","0","0","1","0","0","0","1","0","2","2","0","0","0","0","2","20","11","0","0","0","bulk-1.24-matchid-column","0","0","0"
"3.10","Projekt Warszawa vs Indykpol AZS Olsztyn 3:0","1038826","2026-06-02 17:00","Torwar","Projekt Warszawa","Jędrychowski, Bartłomiej","1681829","5","5","5","0","0","56.2","4","0","1","25","25","3","1","0","2","0","0","0","0","0","0","0","4","23","43","0","0","0","0","0","0","0","14","","0","2","0","0","0","0","23","43","4","1","23","0","0","0","56.2","48.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","0","6","0","0","bulk-1.24-matchid-column","0","0","0"
"3.10","Projekt Warszawa vs Indykpol AZS Olsztyn 3:0","1038826","2026-06-02 17:00","Torwar","Projekt Warszawa","Guangpeng, Guoqiang","1927729","9","8","13","0","0","72","8","1","4","50","38","7","5","3","2","0","43","11","0","100","3","27","5","33","49","0","0","0","0","0","0","0","29.5","","0","0","0","2","0","0","33","49","5","1","33","0","0","0","72","55.3","0","0","0","0","1","1","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","2","0","1","0","2","5","0","0","0","0","0","0","2","5","3","1","11","3","1","0","0","2","0","0","0","0","0","0","0","3","9","14","11","0","0","bulk-1.24-matchid-column","0","0","0"
"3.10","Projekt Warszawa vs Indykpol AZS Olsztyn 3:0","1038826","2026-06-02 17:00","Torwar","Projekt Warszawa","Zawadzki, Arkadiusz","1745095","22","18","11","0","0","98.4","23","4","13","57","39","1","0","0","1","0","0","0","0","0","0","0","9","45","56","0","0","0","0","0","0","0","54.8","","0","1","0","0","0","0","45","56","8","0","42","1","0","3","98.4","81.1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","13","1","3","0","4","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","14","9","19","0","0","bulk-1.24-matchid-column","0","0","0"
"3.10","Projekt Warszawa vs Indykpol AZS Olsztyn 3:0","1038826","2026-06-02 17:00","Torwar","Projekt Warszawa","Minguang, Wyott","1864555","0","0","0","0","0","0","0","0","0","0","0","10","7","4","3","2","60","6","0","100","3","50","0","0","0","2","0","4","2","1","1","0","7.6","","2","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","4","1","3","2","0","6","4","1","0","0","3","0","2","1","0","0","1","0","2","5","0","11","0","0","bulk-1.24-matchid-column","0","0","0"
"3.10","Projekt Warszawa vs Indykpol AZS Olsztyn 3:0","1038826","2026-06-02 17:00","Torwar","Projekt Warszawa","Piegza, Jakub","1685636","6","2","4","0","0","61.6","12","4","3","25","-8","2","1","0","1","0","0","0","0","0","0","0","3","16","21","0","0","0","0","0","0","0","7.4","","0","1","0","0","0","0","16","21","3","0","16","0","0","0","61.6","56.4","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","3","1","0","4","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","16","0","0","bulk-1.24-matchid-column","0","0","0"
"3.10","Projekt Warszawa vs Indykpol AZS Olsztyn 3:0","1038826","2026-06-02 17:00","Torwar","Projekt Warszawa","Krauze, Henryk","1724608","1","-1","3","0","0","60.9","3","2","1","33","-33","2","0","0","2","0","0","0","0","0","0","0","0","5","11","0","0","0","0","0","0","0","-1","","0","2","0","0","0","0","5","11","0","1","5","0","0","0","60.9","54.4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","8","0","0","0","bulk-1.24-matchid-column","0","0","0"
"3.10","Projekt Warszawa vs Indykpol AZS Olsztyn 3:0","1038826","2026-06-02 17:00","Torwar","Projekt Warszawa","Fołta, Karol","1767977","5","3","3","1","0","57.1","3","1","1","33","0","5","2","2","3","2","80","7","0","100","3","43","4","15","23","0","0","0","0","0","0","0","17.9","","1","2","0","0","1","1","15","23","4","1","14","0","0","1","57.1","51.5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","2","1","1","7","2","1","0","0","1","0","2","1","0","0","1","0","1","0","0","19","0","0","bulk-1.24-matchid-column","0","0","0"
