"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"Brazil","15168","1172215","brazil_15168","Pink Dragons vs BH Voleibol 0:3","2026-07-02 19:00","Dragon Arena","Pink Dragons","Parigot, Raymond","1681811","0","0","4","0","0","68.7","1","0","0","0","0","7","4","4","3","1","71","0","0","0","0","0","0","1","4","10","9","33","4","11","12","6","3.6","","1","1","0","2","0","0","1","4","0","0","1","0","0","0","68.7","60.7","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","9","0","2","12","33","0","0","0","0","0","4","2","2","0","0","0","1","1","0","0","0","0","2","11","1","21","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Brazil","15168","1172215","brazil_15168","Pink Dragons vs BH Voleibol 0:3","2026-07-02 19:00","Dragon Arena","Pink Dragons","Tatara, Tomasz","1949453","5","3","9","1","0","75.9","10","0","5","50","50","20","14","7","6","1","40","5","1","80","1","20","0","5","35","0","0","0","0","0","0","0","15","","1","2","0","4","0","0","5","35","0","0","4","0","0","1","75.9","65.9","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","5","8","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","1","2","0","1","4","7","3","1","0","3","0","1","0","0","0","1","0","3","9","11","13","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Brazil","15168","1172215","brazil_15168","Pink Dragons vs BH Voleibol 0:3","2026-07-02 19:00","Dragon Arena","Pink Dragons","La Spada, Livio","1904886","9","2","13","1","1","81.3","22","6","7","32","5","3","2","1","1","0","33","0","0","0","0","0","1","17","38","1","0","1","1","0","0","0","11.8","","0","1","0","0","0","0","17","38","1","1","16","0","0","1","81.3","66.8","4","0","2","0","4","10","1","0","1","0","0","2","0","0","0","0","0","0","2","0","3","0","5","10","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","3","10","9","14","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Brazil","15168","1172215","brazil_15168","Pink Dragons vs BH Voleibol 0:3","2026-07-02 19:00","Dragon Arena","Pink Dragons","Pederboni, Camillo","1905617","5","0","4","0","0","87","16","5","5","31","0","10","7","5","3","1","60","0","0","0","0","0","0","7","27","0","0","0","0","0","0","0","6.9","","1","1","0","2","0","0","7","27","0","0","7","0","0","0","87","70","0","0","1","0","1","2","0","0","0","0","0","0","4","1","0","0","2","7","0","0","0","0","0","0","1","1","2","0","3","7","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","3","0","1","0","0","1","0","0","3","6","8","6","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Brazil","15168","1172215","brazil_15168","Pink Dragons vs BH Voleibol 0:3","2026-07-02 19:00","Dragon Arena","Pink Dragons","Commini, Quinto","1905778","0","-8","4","1","0","75.9","4","2","0","0","-50","12","7","1","5","2","25","37","5","86","13","35","0","4","32","0","0","0","0","0","0","0","5.6","","2","2","0","3","0","0","4","32","0","0","4","0","0","0","75.9","64.2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","3","10","13","6","32","1","0","0","0","1","0","2","0","1","0","1","0","3","19","5","24","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Brazil","15168","1172215","brazil_15168","Pink Dragons vs BH Voleibol 0:3","2026-07-02 19:00","Dragon Arena","Pink Dragons","Maciołek, Jan","1975171","10","6","3","0","0","51","21","4","9","43","24","5","1","0","4","0","0","0","0","0","0","0","1","15","27","0","0","0","0","0","0","0","19.8","","0","0","0","4","0","0","15","27","1","0","12","0","0","3","51","48.6","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","9","0","2","0","8","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","8","5","9","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Brazil","15168","1172215","brazil_15168","Pink Dragons vs BH Voleibol 0:3","2026-07-02 19:00","Dragon Arena","Pink Dragons","Klenovski, Lyuben","2003719","0","0","0","0","0","0","0","0","0","0","0","13","12","5","1","1","46","6","0","100","1","17","0","0","0","2","3","5","0","0","1","4","7.2","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","5","0","3","1","2","6","5","1","1","0","2","1","1","0","0","0","1","0","2","12","1","9","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Brazil","15168","1172215","brazil_15168","Pink Dragons vs BH Voleibol 0:3","2026-07-02 19:00","Dragon Arena","Pink Dragons","Burgio, Piersandro","1684281","5","1","4","1","0","51.7","10","3","4","40","10","0","0","0","0","0","0","0","0","0","0","0","1","6","14","0","0","0","0","0","0","0","5.5","","0","0","0","0","0","0","6","14","1","0","6","0","0","0","51.7","50.9","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","4","0","2","0","3","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","6","4","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Brazil","15168","1172215","brazil_15168","Pink Dragons vs BH Voleibol 0:3","2026-07-02 19:00","Dragon Arena","Pink Dragons","Karch, Dominik","1745311","0","0","0","0","0","0","0","0","0","0","0","4","3","0","1","1","25","1","0","100","1","100","0","0","0","0","0","0","0","0","0","0","1.2","","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","1","0","5","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Brazil","15168","1172215","brazil_15168","Pink Dragons vs BH Voleibol 0:3","2026-07-02 19:00","Dragon Arena","Pink Dragons","Alcantar, Mark","1949039","0","-6","5","1","0","71.9","4","2","0","0","-50","8","6","0","2","0","0","17","3","82","6","35","0","1","31","0","0","0","0","0","0","0","-2","","0","0","0","2","0","0","1","31","0","0","1","0","0","0","71.9","65.7","0","0","0","0","1","1","0","0","0","0","0","0","0","0","2","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","5","14","0","0","0","0","0","0","0","0","0","0","0","0","3","6","21","3","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
