"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"Bulgaria","15173","1168887","bulgaria_15173","Devils vs VC Minyor Pernik 0:3","2026-07-02 19:00","Ураган","Devils","Guével, Dylan","1903604","3","2","9","1","1","65.1","1","0","0","0","0","12","8","5","4","1","50","0","0","0","0","0","2","14","33","18","13","65","4","20","25","16","12.4","","1","1","0","3","0","0","14","33","2","0","13","0","0","1","65.1","54.2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","13","1","7","26","65","0","0","0","0","0","5","1","2","1","1","0","1","0","0","0","1","0","3","1","26","40","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Bulgaria","15173","1168887","bulgaria_15173","Devils vs VC Minyor Pernik 0:3","2026-07-02 19:00","Ураган","Devils","Nikolov, Ivan","1905620","4","3","7","0","0","64.1","3","1","2","67","33","15","7","4","8","3","47","6","0","100","1","17","2","20","34","0","0","0","0","0","0","0","15.7","","3","4","0","4","0","0","20","34","2","0","18","0","0","2","64.1","57.3","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","2","2","1","6","4","2","0","1","1","0","3","2","0","0","1","0","2","0","10","16","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Bulgaria","15173","1168887","bulgaria_15173","Devils vs VC Minyor Pernik 0:3","2026-07-02 19:00","Ураган","Devils","Petkov, Dimitar","1951181","9","3","7","0","1","59.7","16","6","3","19","-19","4","1","0","3","2","50","0","0","0","0","0","5","24","38","0","0","2","0","0","2","0","12","","1","1","0","1","1","1","24","38","4","0","21","1","0","3","59.7","53.4","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","3","3","3","0","6","15","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","2","0","1","1","0","0","3","1","9","17","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Bulgaria","15173","1168887","bulgaria_15173","Devils vs VC Minyor Pernik 0:3","2026-07-02 19:00","Ураган","Devils","Salazar, Aldonio","1928917","5","-4","6","0","0","68.8","28","9","5","18","-14","12","6","1","6","0","8","0","0","0","0","0","0","20","41","0","0","0","0","0","0","0","-5.5","","0","2","0","3","0","1","20","41","0","0","19","0","0","1","68.8","60.1","1","0","0","0","3","4","0","0","2","0","1","3","4","3","3","0","7","17","0","0","0","0","0","0","0","0","1","0","3","4","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","3","1","12","23","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Bulgaria","15173","1168887","bulgaria_15173","Devils vs VC Minyor Pernik 0:3","2026-07-02 19:00","Ураган","Devils","Konstantinov, Todor","1905402","2","-1","7","1","0","62.4","6","0","1","17","17","14","8","5","6","3","57","33","2","94","8","24","1","26","40","0","0","0","0","0","0","0","20.8","","2","3","1","3","0","0","26","40","1","0","22","0","1","4","62.4","56.7","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","4","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","2","7","15","7","31","5","1","1","1","2","0","3","1","1","0","0","1","3","1","19","28","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Bulgaria","15173","1168887","bulgaria_15173","Devils vs VC Minyor Pernik 0:3","2026-07-02 19:00","Ураган","Devils","Stoyanov, Boris","1950916","10","4","8","0","2","68","16","6","8","50","13","1","1","0","0","0","0","0","0","0","0","0","0","18","28","0","0","0","0","0","0","0","15.6","","0","0","0","0","0","0","18","28","0","0","17","0","0","1","68","58.2","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","8","1","2","0","2","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","6","0","17","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Bulgaria","15173","1168887","bulgaria_15173","Devils vs VC Minyor Pernik 0:3","2026-07-02 19:00","Ураган","Devils","Tomita, Junichi","1975694","0","-1","0","0","0","0","0","0","0","0","0","16","11","6","5","1","44","8","1","88","2","25","0","0","0","1","3","5","0","0","1","4","6.8","","1","3","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","1","5","0","4","2","1","7","6","2","3","0","1","0","1","1","0","0","0","0","3","6","9","9","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Bulgaria","15173","1168887","bulgaria_15173","Devils vs VC Minyor Pernik 0:3","2026-07-02 19:00","Ураган","Devils","Stoykov, Iliyan","1929025","0","0","1","0","0","49.5","5","0","0","0","0","3","2","0","1","0","0","0","0","0","0","0","0","9","14","0","0","0","0","0","0","0","0","","0","0","0","1","0","0","9","14","0","0","8","0","0","1","49.5","49.5","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","7","0","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Bulgaria","15173","1168887","bulgaria_15173","Devils vs VC Minyor Pernik 0:3","2026-07-02 19:00","Ураган","Devils","Matzov, Lachezar","1905312","1","1","1","0","0","48.7","1","0","0","0","0","5","2","0","3","1","20","18","0","100","1","6","1","3","8","0","0","0","0","0","0","0","11","","0","0","1","3","0","0","3","8","1","0","3","0","0","0","48.7","48.7","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","4","3","10","18","0","0","0","0","0","0","1","0","1","0","0","0","1","19","0","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Bulgaria","15173","1168887","bulgaria_15173","Devils vs VC Minyor Pernik 0:3","2026-07-02 19:00","Ураган","Devils","Bretel, Richard","1975964","0","-3","3","0","0","66.3","3","3","0","0","-100","4","2","0","2","2","50","2","0","100","1","50","0","5","10","0","0","0","0","0","0","0","-2.5","","1","1","1","1","0","0","5","10","0","0","5","0","0","0","66.3","61","0","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","2","0","0","0","1","1","1","10","0","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
