"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"France","15178","1158647","france_15178","South is invincible vs Montpellier Beach Volley 0:3","2026-07-02 19:00","Unbreakable palace","South is invincible","Kellogg, Peter","1685595","0","0","7","0","0","53.5","0","0","0","0","0","20","12","3","8","2","25","0","0","0","0","0","0","11","32","33","22","99","10","25","38","26","3.2","","1","1","1","7","0","0","11","32","0","0","9","0","0","2","53.5","47.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33","22","1","7","36","99","0","0","0","0","0","3","0","2","0","0","1","2","0","1","0","0","1","3","29","34","28","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"France","15178","1158647","france_15178","South is invincible vs Montpellier Beach Volley 0:3","2026-07-02 19:00","Unbreakable palace","South is invincible","Fronval, Etienne","1903461","7","0","8","1","0","54.1","16","6","7","44","6","17","9","5","8","5","59","5","0","100","2","40","0","12","24","0","0","0","0","0","0","0","14","","5","6","0","2","0","0","12","24","0","0","12","0","0","0","54.1","49.8","0","0","1","0","1","2","1","0","1","0","0","2","5","1","1","1","2","10","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","1","3","1","0","5","5","0","1","0","3","1","5","2","2","0","0","1","2","0","21","15","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"France","15178","1158647","france_15178","South is invincible vs Montpellier Beach Volley 0:3","2026-07-02 19:00","Unbreakable palace","South is invincible","Musiał, Tadeusz","1767861","1","1","0","0","0","0","1","0","1","100","100","1","0","0","1","0","0","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","2","","0","0","0","1","0","0","1","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"France","15178","1158647","france_15178","South is invincible vs Montpellier Beach Volley 0:3","2026-07-02 19:00","Unbreakable palace","South is invincible","Pagès, Daniel","1744913","6","-4","5","1","0","54.9","20","9","5","25","-20","5","4","1","1","0","20","0","0","0","0","0","1","14","29","0","0","0","0","0","0","0","-4.7","","0","0","0","1","0","0","14","29","1","0","13","0","0","1","54.9","49.6","1","0","0","0","3","4","0","0","4","0","0","4","2","1","4","0","3","10","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","2","13","0","14","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"France","15178","1158647","france_15178","South is invincible vs Montpellier Beach Volley 0:3","2026-07-02 19:00","Unbreakable palace","South is invincible","Goujon, Guy","1905053","2","-6","3","1","0","57.5","11","5","2","18","-27","8","6","4","2","0","50","41","2","95","10","24","0","13","23","0","0","0","0","0","0","0","8.9","","0","0","0","2","0","0","13","23","0","0","11","0","0","2","57.5","54.8","0","0","1","0","0","1","0","0","1","0","0","1","2","1","2","0","4","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","16","13","39","4","0","2","0","1","1","0","0","0","0","0","0","3","23","1","27","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"France","15178","1158647","france_15178","South is invincible vs Montpellier Beach Volley 0:3","2026-07-02 19:00","Unbreakable palace","South is invincible","Nowak, Maciej","1865456","11","6","4","1","0","48.1","21","4","10","48","29","3","2","0","1","0","0","0","0","0","0","0","1","23","35","0","0","0","0","0","0","0","21.8","","0","0","0","1","0","0","23","35","1","1","20","0","0","3","48.1","46.5","2","0","0","0","1","3","1","0","1","0","2","4","0","0","0","0","0","0","7","2","1","0","4","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","10","8","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"France","15178","1158647","france_15178","South is invincible vs Montpellier Beach Volley 0:3","2026-07-02 19:00","Unbreakable palace","South is invincible","de Albuquerque, Clemente","1864853","0","-1","0","0","0","0","0","0","0","0","0","24","10","8","14","4","50","6","1","83","2","33","0","0","0","0","3","5","0","0","2","3","8.8","","4","8","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","2","5","1","1","3","0","5","8","4","1","1","1","1","4","2","1","1","0","0","3","14","7","5","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"France","15178","1158647","france_15178","South is invincible vs Montpellier Beach Volley 0:3","2026-07-02 19:00","Unbreakable palace","South is invincible","Bernard, Noah","1975082","3","-1","4","1","0","63.8","9","3","3","33","0","7","5","3","2","2","71","0","0","0","0","0","0","7","19","0","0","0","0","0","0","0","3.7","","2","2","0","0","0","0","7","19","0","0","7","0","0","0","63.8","56.9","2","1","1","0","2","6","0","0","0","0","0","0","1","0","1","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","1","1","2","2","0","0","0","0","1","0","18","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"France","15178","1158647","france_15178","South is invincible vs Montpellier Beach Volley 0:3","2026-07-02 19:00","Unbreakable palace","South is invincible","Stapleton, Tracy","2032855","1","-1","2","0","0","63","7","2","1","14","-14","0","0","0","0","0","0","1","0","100","1","100","0","5","13","0","0","0","0","0","0","0","-0.2","","0","0","0","0","0","0","5","13","0","0","4","0","0","1","63","57.8","0","0","1","0","3","4","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","9","0","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"France","15178","1158647","france_15178","South is invincible vs Montpellier Beach Volley 0:3","2026-07-02 19:00","Unbreakable palace","South is invincible","Barnard, Jeremy","1949035","3","0","4","0","0","73.5","10","1","3","30","20","6","6","3","0","0","50","16","2","88","6","38","0","10","20","0","0","0","0","0","0","0","10.9","","0","0","0","0","0","0","10","20","0","0","8","0","0","2","73.5","58.7","1","0","1","0","4","6","0","0","0","0","0","0","2","0","0","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","4","4","4","14","3","0","0","1","2","0","0","0","0","0","0","0","1","0","27","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
