"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"Germany","15183","1070338","germany_15183","VC Friesland vs Tantris Volleys 3:0","2026-05-21 19:00","Friesen-Arena","VC Friesland","Ehrlichauf, Matthias","1975568","0","0","5","0","0","74.2","0","0","0","0","0","5","2","1","3","2","60","0","0","0","0","0","0","2","3","15","2","26","3","10","9","4","1.6","","1","1","1","2","0","0","2","3","0","0","1","0","0","1","74.2","62.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","2","1","1","7","26","0","0","0","0","0","1","0","0","0","1","0","2","0","2","0","0","0","3","8","8","8","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Germany","15183","1070338","germany_15183","VC Friesland vs Tantris Volleys 3:0","2026-05-21 19:00","Friesen-Arena","VC Friesland","Bölk, Corvin","1926987","1","-4","5","3","0","57.1","3","2","1","33","-33","1","0","0","1","0","0","14","0","100","8","57","0","4","11","0","0","0","0","0","0","0","4.8","","0","0","0","1","0","0","4","11","0","0","4","0","0","0","57.1","54.9","1","0","1","0","0","2","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","6","3","2","14","0","0","0","0","0","0","0","0","0","0","0","0","3","4","9","6","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Germany","15183","1070338","germany_15183","VC Friesland vs Tantris Volleys 3:0","2026-05-21 19:00","Friesen-Arena","VC Friesland","Tošovský, Igor","2003529","6","6","3","0","0","72.4","8","0","5","63","63","2","1","0","1","0","0","0","0","0","0","0","1","6","13","0","1","2","1","0","0","1","13","","0","0","0","1","0","0","6","13","1","0","5","0","0","1","72.4","57.8","4","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","3","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","5","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Germany","15183","1070338","germany_15183","VC Friesland vs Tantris Volleys 3:0","2026-05-21 19:00","Friesen-Arena","VC Friesland","Drozd, Roman","1865717","5","4","3","1","0","55.2","7","0","4","57","57","1","1","0","0","0","0","0","0","0","0","0","1","11","18","0","0","0","0","0","0","0","10","","0","0","0","0","0","0","11","18","1","0","11","0","0","0","55.2","52.1","0","0","0","0","1","1","1","0","0","0","0","1","2","0","0","1","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","5","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Germany","15183","1070338","germany_15183","VC Friesland vs Tantris Volleys 3:0","2026-05-21 19:00","Friesen-Arena","VC Friesland","Murken, Christian","1926985","6","3","11","0","0","69.3","11","3","4","36","9","15","8","4","7","4","53","5","0","100","2","40","2","21","43","0","0","0","0","0","0","0","18.9","","1","1","2","4","1","2","21","43","2","0","20","0","0","1","69.3","56.8","3","2","1","0","2","8","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","4","1","5","4","1","1","1","1","0","4","3","0","0","1","0","3","15","12","11","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Germany","15183","1070338","germany_15183","VC Friesland vs Tantris Volleys 3:0","2026-05-21 19:00","Friesen-Arena","VC Friesland","Powell, Eike","2004394","4","3","0","0","0","0","7","1","4","57","43","1","0","0","1","0","0","0","0","0","0","0","0","6","8","0","0","0","0","0","0","0","6.5","","0","0","0","1","0","0","6","8","0","0","4","0","0","2","0","0","1","0","0","0","0","1","0","0","1","0","1","2","0","0","0","0","0","0","3","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","3","1","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Germany","15183","1070338","germany_15183","VC Friesland vs Tantris Volleys 3:0","2026-05-21 19:00","Friesen-Arena","VC Friesland","Bieńkowski, Filip","1904322","0","0","0","0","0","0","0","0","0","0","0","31","25","16","6","3","61","6","0","100","3","50","0","0","0","5","2","10","0","1","3","6","17.6","","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","2","0","0","3","10","0","6","0","0","6","16","9","2","0","5","0","3","2","0","0","1","0","3","15","9","14","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Germany","15183","1070338","germany_15183","VC Friesland vs Tantris Volleys 3:0","2026-05-21 19:00","Friesen-Arena","VC Friesland","Wojciechowski, Bartosz","1949267","7","3","6","1","1","62.8","12","3","4","33","8","14","11","5","3","0","36","0","0","0","0","0","2","23","42","0","0","0","0","0","0","0","17.1","","0","0","0","3","0","0","23","42","2","0","21","0","0","2","62.8","56.6","1","0","0","0","0","1","0","0","0","0","0","0","2","0","2","0","1","5","0","0","0","0","0","0","1","0","1","0","4","6","0","0","0","0","0","0","0","0","0","0","0","5","2","0","2","1","0","0","0","0","0","0","0","3","10","10","9","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Germany","15183","1070338","germany_15183","VC Friesland vs Tantris Volleys 3:0","2026-05-21 19:00","Friesen-Arena","VC Friesland","Leuthner, Müslüm","1926984","15","8","15","1","3","69.7","21","5","10","48","24","9","7","5","2","2","78","36","1","97","14","39","2","28","51","0","0","0","0","0","0","0","53.7","","1","1","1","1","0","0","28","51","2","2","23","0","1","5","72.1","62.2","7","3","2","1","3","16","0","0","0","1","0","1","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","4","11","11","9","35","5","3","0","0","2","0","2","0","1","0","0","1","3","26","24","15","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Germany","15183","1070338","germany_15183","VC Friesland vs Tantris Volleys 3:0","2026-05-21 19:00","Friesen-Arena","VC Friesland","Mizutori, Monta","1745067","1","0","8","1","0","56.5","0","0","0","0","0","15","11","8","4","3","73","0","0","0","0","0","1","20","42","32","6","77","11","23","25","18","9.6","","3","3","0","1","0","0","20","42","1","0","17","0","1","3","56.5","50.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","6","4","6","29","77","0","0","0","0","0","8","5","1","0","0","2","3","0","2","0","1","0","3","26","27","22","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
