"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"International","15188","1088642","international_15188","PAOK vs VC Packo 3:0","2026-05-17 19:00","PAOK ARENA","PAOK","Guidez, Gilles","1767038","4","4","6","0","0","60.3","0","0","0","0","0","5","2","1","3","0","20","0","0","0","0","0","4","27","49","21","10","70","15","21","22","12","12.8","","0","0","0","3","0","0","27","49","4","0","26","0","0","1","60.3","54.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","10","4","4","31","70","3","1","34","29","0","0","0","0","0"
"International","15188","1088642","international_15188","PAOK vs VC Packo 3:0","2026-05-17 19:00","PAOK ARENA","PAOK","Cristiano, Orlando","1864479","3","3","4","0","2","69","2","0","0","0","0","6","2","1","4","2","50","11","0","100","1","9","1","12","20","0","0","0","0","0","0","0","15.4","","2","2","0","2","0","0","12","20","1","0","12","0","0","0","69","67.2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","18","0","0","0","0","0"
"International","15188","1088642","international_15188","PAOK vs VC Packo 3:0","2026-05-17 19:00","PAOK ARENA","PAOK","Nowicki, Mikołaj","1744909","16","7","8","1","0","68.8","30","8","11","37","10","1","1","0","0","0","0","0","0","0","0","0","5","27","36","1","0","1","0","1","0","0","26","","0","0","0","0","0","0","27","36","5","1","26","0","0","1","68.8","60.5","1","0","1","0","2","4","0","0","0","1","0","1","0","0","0","0","0","0","7","2","5","2","9","25","0","0","0","0","0","0","1","0","0","0","0","1","2","0","18","17","0","0","0","0","0"
"International","15188","1088642","international_15188","PAOK vs VC Packo 3:0","2026-05-17 19:00","PAOK ARENA","PAOK","Nelson, Jessie","1865812","5","3","6","0","0","68.2","7","2","1","14","-14","12","7","5","5","4","75","0","0","0","0","0","4","19","33","0","0","0","0","0","0","0","16.6","","3","4","1","1","0","0","19","33","4","0","19","0","0","0","68.2","59.4","0","0","2","0","2","4","0","0","0","0","0","0","1","0","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","10","0","11","0","0","0","0","0"
"International","15188","1088642","international_15188","PAOK vs VC Packo 3:0","2026-05-17 19:00","PAOK ARENA","PAOK","Lima, Bebeto","1864480","2","2","5","0","0","77.1","4","0","1","25","25","7","2","0","5","5","71","2","0","100","2","100","1","10","17","0","0","0","0","0","0","0","8.6","","4","4","1","1","0","0","10","17","1","0","10","0","0","0","77.1","64.1","0","0","0","0","2","2","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","17","0","0","0","0","0"
"International","15188","1088642","international_15188","PAOK vs VC Packo 3:0","2026-05-17 19:00","PAOK ARENA","PAOK","Kopeć, Paweł","1905772","15","12","9","1","0","66.7","22","2","12","55","45","1","0","0","1","1","100","0","0","0","0","0","3","28","37","0","0","0","0","0","0","0","38.4","","0","0","1","1","0","0","28","37","3","2","26","0","0","2","66.7","57.2","2","0","0","0","2","4","0","0","1","0","2","3","0","0","0","0","0","0","10","1","0","0","4","15","0","0","0","0","0","0","0","0","0","0","0","0","2","11","20","0","0","0","0","0","0"
"International","15188","1088642","international_15188","PAOK vs VC Packo 3:0","2026-05-17 19:00","PAOK ARENA","PAOK","Fetto, Mattia","1904871","0","-1","0","0","0","0","0","0","0","0","0","21","13","10","8","6","76","9","1","89","4","44","0","0","0","1","0","1","0","1","0","0","13.2","","5","5","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","11","8","8","0","0","0","0","0"
"International","15188","1088642","international_15188","PAOK vs VC Packo 3:0","2026-05-17 19:00","PAOK ARENA","PAOK","Prządka, Oliwier","1681747","1","1","7","0","0","59.1","0","0","0","0","0","5","3","3","2","1","80","0","0","0","0","0","1","9","15","13","2","25","9","9","4","3","5.8","","1","1","0","1","0","0","9","15","1","0","8","0","0","1","59.1","52.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","2","1","2","7","25","1","28","0","0","0","0","0","0","0"
"International","15188","1088642","international_15188","PAOK vs VC Packo 3:0","2026-05-17 19:00","PAOK ARENA","PAOK","Rolla, Miguel","1976658","3","-1","6","2","1","66.1","5","2","0","0","-40","4","0","0","4","3","75","23","0","100","9","39","2","14","44","0","0","0","0","0","0","0","18","","3","4","0","0","0","0","14","44","2","0","14","0","0","0","68.6","64.1","0","0","0","0","1","1","0","0","1","0","0","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","13","22","0","0","0","0","0","0"
"International","15188","1088642","international_15188","PAOK vs VC Packo 3:0","2026-05-17 19:00","PAOK ARENA","PAOK","Miranda, Nicolau","1976659","6","6","11","0","1","82.2","9","0","5","56","56","14","10","4","4","2","43","2","0","100","1","50","0","11","26","0","0","0","0","0","0","0","18.2","","1","1","1","3","0","0","11","26","0","0","10","0","0","1","82.2","62.8","1","0","0","0","2","3","0","0","0","1","1","2","1","0","0","0","1","2","0","0","0","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","2","13","16","0","0","0","0","0","0"
