"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"Italy","15193","1062738","italy_15193","Massimone Roma vs Roma Volley 3:2","2026-05-17 19:00","Colosseo","Massimone Roma","Stępień, Igor","1681801","8","7","16","1","0","56","0","0","0","0","0","31","17","5","14","2","23","0","0","0","0","0","8","32","62","64","24","150","34","50","43","23","27.8","","0","2","1","11","1","1","32","62","8","0","30","0","0","2","56","48.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","64","24","6","8","48","150","5","30","34","35","31","25","0","0","0"
"Italy","15193","1062738","italy_15193","Massimone Roma vs Roma Volley 3:2","2026-05-17 19:00","Colosseo","Massimone Roma","Sergio, Carmelo","1976426","5","2","11","0","1","60.9","7","2","3","43","14","14","11","9","3","2","79","20","1","95","9","45","1","15","40","0","0","0","0","0","0","0","26.2","","1","1","1","2","0","0","15","40","1","0","13","0","0","2","60.9","51.3","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","0","1","3","0","0","0","0","0","0","1","0","1","0","1","3","0","0","0","0","0","0","5","8","9","11","9","12","0","0","0"
"Italy","15193","1062738","italy_15193","Massimone Roma vs Roma Volley 3:2","2026-05-17 19:00","Colosseo","Massimone Roma","Liverani, Alessio","1865046","37","19","23","1","1","60.7","63","17","29","46","19","7","3","0","4","1","14","0","0","0","0","0","7","51","74","1","0","1","0","1","0","0","59.7","","0","0","1","4","0","0","51","74","6","0","45","1","0","6","60.7","54.8","0","0","1","0","4","5","2","1","0","0","1","4","0","0","0","0","0","0","24","5","10","3","12","54","0","0","0","0","0","0","1","0","0","0","0","1","5","20","17","19","18","10","0","0","0"
"Italy","15193","1062738","italy_15193","Massimone Roma vs Roma Volley 3:2","2026-05-17 19:00","Colosseo","Massimone Roma","Missiroli, Aldo","2004429","1","-3","15","1","0","57.2","9","3","1","11","-22","7","2","1","5","1","29","0","0","0","0","0","0","23","63","0","0","0","0","0","0","0","-2.3","","1","1","0","4","0","0","23","63","0","0","21","0","0","2","57.2","48.7","0","0","0","0","0","0","0","0","3","1","1","5","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","4","8","1","0","7","9","0","0","0"
"Italy","15193","1062738","italy_15193","Massimone Roma vs Roma Volley 3:2","2026-05-17 19:00","Colosseo","Massimone Roma","Pescetto, Giangiacomo","1976118","6","1","7","0","0","49.5","14","4","6","43","14","16","13","6","3","2","50","27","1","96","8","30","0","20","52","0","0","0","0","0","0","0","26","","1","1","1","2","0","0","20","52","0","1","20","0","0","0","49.5","46","1","0","0","0","1","2","0","1","3","1","1","6","3","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","2","3","0","0","0","0","0","0","5","5","10","9","11","14","0","0","0"
"Italy","15193","1062738","italy_15193","Massimone Roma vs Roma Volley 3:2","2026-05-17 19:00","Colosseo","Massimone Roma","Carpentieri, Gaspare","1745525","44","40","10","0","0","60.5","46","4","27","59","50","4","2","0","2","0","0","0","0","0","0","0","17","60","83","0","0","0","0","0","0","0","109","","0","0","0","2","0","0","60","83","15","3","53","2","0","7","60.5","49.9","0","0","0","0","0","0","4","0","1","0","1","6","0","0","0","0","0","0","23","2","1","0","14","40","0","0","0","0","0","0","0","0","0","0","0","0","5","13","10","14","16","12","0","0","0"
"Italy","15193","1062738","italy_15193","Massimone Roma vs Roma Volley 3:2","2026-05-17 19:00","Colosseo","Massimone Roma","Năstoiescu, Silvian","1976474","0","0","0","0","0","0","0","0","0","0","0","25","17","12","8","6","72","4","0","100","2","50","0","0","0","0","1","3","0","1","1","1","14.4","","3","4","1","2","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","3","5","3","5","8","2","11","0","0","0"
"Italy","15193","1062738","italy_15193","Massimone Roma vs Roma Volley 3:2","2026-05-17 19:00","Colosseo","Massimone Roma","Makulis, Achilleas","2003654","1","-3","12","1","0","61.2","3","2","1","33","-33","6","6","2","0","0","33","18","1","94","7","39","0","14","31","0","0","0","0","0","0","0","7.2","","0","0","0","0","0","0","14","31","0","0","14","0","0","0","61.2","50.5","0","0","0","0","0","0","1","0","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","10","10","9","0","0","0","0"
"Italy","15193","1062738","italy_15193","Massimone Roma vs Roma Volley 3:2","2026-05-17 19:00","Colosseo","Massimone Roma","Schechtinger, Ronald","2087931","2","1","3","0","0","50.8","5","1","2","40","20","3","2","0","1","1","33","0","0","0","0","0","0","4","16","0","0","0","0","0","0","0","2.9","","1","1","0","0","0","0","4","16","0","0","4","0","0","0","50.8","46.8","2","0","1","0","0","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","10","0","0","0","0","0"
"Italy","15193","1062738","italy_15193","Massimone Roma vs Roma Volley 3:2","2026-05-17 19:00","Colosseo","Massimone Roma","Siveri, Leone","2003195","2","-2","11","1","0","62","7","2","2","29","0","14","11","7","3","1","57","22","1","95","11","50","0","9","34","0","0","0","0","0","0","0","16.8","","0","0","1","3","0","0","9","34","0","0","9","0","0","0","62","50.7","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","1","1","1","4","0","0","0","0","0","0","4","10","9","11","12","0","0","0","0"
