"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Sporting CP","Greguła, Michał","1642832","1","0","2","1","0","48","0","0","0","0","0","13","7","3","6","0","23","0","0","0","0","0","1","3","6","5","50","72","1","8","35","28","4.4","","0","0","0","6","0","0","3","6","0","0","1","1","0","2","48","48","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","50","2","4","11","72","0","0","0","0","0","3","0","1","0","0","2","0","0","0","0","0","0","3","24","24","24","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Sporting CP","Kostov, Dimitar","1864639","1","-3","1","0","0","52.1","4","3","1","25","-50","5","4","0","1","0","0","16","1","94","1","6","0","1","3","0","0","0","0","0","0","0","1.9","","0","0","0","1","0","0","1","3","0","0","0","0","0","1","52.1","52.1","0","0","0","0","0","0","1","0","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","5","15","0","0","0","0","0","0","0","0","0","0","0","0","1","0","21","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Sporting CP","Capraro, Emilio","1903520","1","1","2","0","0","50.6","2","0","1","50","50","1","1","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","2","","0","0","0","0","0","0","1","5","0","0","0","0","0","1","50.6","49.3","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","3","0","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Sporting CP","Manov, Zhivko","1929449","2","-11","1","0","0","57.4","17","13","2","12","-65","9","1","0","8","1","11","0","0","0","0","0","0","9","18","0","0","0","0","0","0","0","-28.1","","0","0","0","7","1","1","9","18","0","0","7","0","0","2","57.4","57.4","0","2","4","0","2","8","0","1","4","0","0","5","1","0","2","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","3","3","8","6","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Sporting CP","Domalewski, Andrzej","1929512","1","-17","1","0","0","53.5","19","17","1","5","-84","8","3","0","5","0","0","6","1","83","0","0","0","1","17","0","0","0","0","0","0","0","-40.3","","0","0","0","5","0","0","1","17","0","0","1","0","0","0","53.5","53.5","0","0","4","0","0","4","0","0","8","0","0","8","0","0","4","0","1","5","0","0","0","0","0","0","1","0","1","0","0","2","0","0","0","0","0","0","0","1","2","2","5","0","0","0","0","0","0","0","0","0","0","0","0","3","12","9","6","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Sporting CP","Luta, Asbjörn","1637524","1","-9","0","0","0","0","14","10","1","7","-64","5","0","0","5","0","0","0","0","0","0","0","0","10","15","0","0","0","0","0","0","0","-25.8","","0","0","0","5","0","0","10","15","0","0","5","0","0","5","0","0","0","0","0","0","2","2","0","0","7","1","0","8","0","0","0","0","0","0","0","0","3","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","5","6","2","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Sporting CP","Rocchi, Sante","1745360","0","0","0","0","0","0","0","0","0","0","0","19","4","1","15","1","11","8","0","100","2","25","0","0","0","0","1","3","0","0","1","2","5.2","","0","0","1","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","3","0","2","4","2","8","1","0","1","0","0","0","1","0","1","0","0","0","3","4","7","3","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Sporting CP","Atabey, Çağlar","1929526","0","-3","1","0","0","0","4","3","0","0","-75","4","1","0","3","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","-4.5","","0","0","0","3","0","0","1","4","0","0","1","0","0","0","43.4","43.4","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","5","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Sporting CP","Płuciennik, Piotr","1929511","1","-11","2","1","0","50.8","15","9","1","7","-53","8","1","1","7","0","13","42","2","95","2","5","0","1","4","0","0","0","0","0","0","0","-9.5","","0","0","0","7","0","0","1","4","0","0","1","0","0","0","50.8","50.8","1","0","2","0","4","7","0","0","3","0","0","3","0","1","1","0","0","2","0","0","0","0","0","0","0","0","2","0","1","3","0","0","0","0","0","0","1","3","20","16","40","1","0","1","0","0","0","0","0","0","0","0","0","2","23","0","23","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Operário da Lagoa","Furnas, Leopoldo","2003953","1","1","5","0","0","55.9","0","0","0","0","0","8","2","0","6","3","38","0","0","0","0","0","1","8","12","7","1","11","4","3","3","1","4.2","","2","4","0","0","1","2","8","12","1","0","8","0","0","0","55.9","52.4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0","3","11","0","0","0","0","0","0","0","0","0","0","0","3","3","0","0","0","0","3","8","11","2","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Operário da Lagoa","Kamiński, Tomasz","1865800","2","2","12","0","1","65.5","1","0","1","100","100","2","2","2","0","0","100","1","0","100","1","100","0","4","6","0","0","0","0","0","0","0","7.4","","0","0","0","0","0","0","4","6","0","0","4","0","0","0","65.5","57.3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","1","0","0","1","0","0","0","0","0","0","0","3","4","2","9","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Operário da Lagoa","Matoušek, Ernest","1904438","11","11","4","0","0","93.7","4","0","3","75","75","1","0","0","1","1","100","0","0","0","0","0","8","15","18","0","0","0","0","0","0","0","30.4","","1","1","0","0","0","0","15","18","7","0","12","1","0","3","93.7","74.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","3","2","7","6","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Operário da Lagoa","Todorov, Evgeni","1929502","5","5","12","0","1","68.2","3","0","2","67","67","0","0","0","0","0","0","0","0","0","0","0","2","18","25","0","0","0","0","0","0","0","13","","0","0","0","0","0","0","18","25","2","0","14","0","0","4","71.3","57.9","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","5","3","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
"Portugal","15813","1181479","portugal_15813","Sporting CP vs Operário da Lagoa 0:3","2026-07-02 19:00","Sporting","Operário da Lagoa","de Macedo, Valdemar","1976061","10","9","3","0","2","59.8","5","1","3","60","40","1","1","1","0","0","100","4","0","100","3","75","5","46","68","0","0","0","0","0","0","0","29.1","","0","0","0","0","0","0","46","68","4","1","45","1","0","1","61.1","58.4","0","0","0","0","0","0","1","0","0","0","0","1","2","1","0","0","1","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","2","1","4","1","0","0","0","1","0","0","0","0","0","0","0","3","2","11","5","0","0","foreign-0.2.14-duplicate-shortname-cyrillic-team-fix","0","0","0"
