"Kraj","LeagueId","MatchId","Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"Usa","15203","1072658","usa_15203","CELTICS VC vs LOS ANGELES VBC 2:3","2026-05-21 19:00","TD Garden","CELTICS VC","Holguin, Calvin","1724993","1","0","14","1","0","57","0","0","0","0","0","14","8","3","6","3","43","0","0","0","0","0","1","20","36","37","9","80","17","22","25","16","5.6","","3","4","0","2","0","0","20","36","1","0","17","0","0","3","57","51.7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","37","9","3","4","27","80","0","0","0","0","0","3","2","1","0","0","0","3","2","0","0","1","0","5","34","1","33","1","17","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072658","usa_15203","CELTICS VC vs LOS ANGELES VBC 2:3","2026-05-21 19:00","TD Garden","CELTICS VC","Bernardo, Luciano","1903984","6","0","14","1","0","71","4","1","3","75","50","16","12","4","4","2","38","60","4","93","30","50","3","37","65","0","0","0","0","0","0","0","42.9","","1","1","1","3","0","0","37","65","3","0","31","0","0","6","71","60.7","1","0","1","0","0","2","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14","18","14","10","56","4","4","0","0","0","0","2","0","1","1","0","0","4","25","21","0","22","15","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072658","usa_15203","CELTICS VC vs LOS ANGELES VBC 2:3","2026-05-21 19:00","TD Garden","CELTICS VC","Hazebroucq, Justin","1904962","23","16","16","2","3","87.1","31","5","17","55","39","4","2","0","2","0","0","0","0","0","0","0","3","42","64","0","0","0","0","0","0","0","50.3","","0","1","0","1","0","0","42","64","3","1","35","0","1","7","90.8","76","1","0","0","0","2","3","2","0","0","1","0","3","0","0","0","0","0","0","13","1","4","0","7","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","16","12","1","14","5","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072658","usa_15203","CELTICS VC vs LOS ANGELES VBC 2:3","2026-05-21 19:00","TD Garden","CELTICS VC","Tucker, Jeffery","1949182","24","21","10","1","1","78.4","37","2","22","59","54","20","15","0","5","1","5","0","0","0","0","0","1","40","67","0","0","0","0","0","0","0","57.2","","1","3","0","1","0","1","40","67","1","1","36","0","0","4","78.4","69.2","8","1","0","0","5","14","0","0","0","0","0","0","12","0","1","0","6","19","0","0","0","0","0","0","0","0","0","2","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","4","16","16","0","16","10","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072658","usa_15203","CELTICS VC vs LOS ANGELES VBC 2:3","2026-05-21 19:00","TD Garden","CELTICS VC","Newbold, Mike","1865515","8","6","15","1","0","74.1","16","1","3","19","13","20","14","9","6","2","55","8","0","100","4","50","5","42","66","0","0","0","0","0","0","0","33.9","","1","5","1","1","0","0","42","66","5","1","40","0","0","2","74.1","61.3","1","0","0","0","4","5","1","0","1","0","2","4","0","0","0","0","3","3","0","0","0","0","0","0","1","0","0","0","3","4","0","0","0","0","0","0","2","4","1","1","8","9","3","1","0","4","1","2","1","0","0","1","0","5","10","13","16","10","4","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072658","usa_15203","CELTICS VC vs LOS ANGELES VBC 2:3","2026-05-21 19:00","TD Garden","CELTICS VC","Simeonov, Iliyan","1745126","27","19","11","1","1","59.1","34","7","20","59","38","8","1","0","7","2","25","0","0","0","0","0","6","48","64","0","0","0","0","0","0","0","57.9","","1","1","0","5","1","1","48","64","5","1","44","1","0","4","59.1","53","0","0","0","0","1","1","0","0","4","0","0","4","0","0","0","0","0","0","19","1","2","1","6","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","1","0","0","5","14","13","7","9","7","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072658","usa_15203","CELTICS VC vs LOS ANGELES VBC 2:3","2026-05-21 19:00","TD Garden","CELTICS VC","Brößler, Guenter","1976507","0","0","0","0","0","0","0","0","0","0","0","35","27","13","8","6","54","15","0","100","8","53","0","0","0","4","1","8","1","0","3","4","22","","5","6","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","3","8","4","4","5","2","15","13","10","1","0","2","0","6","1","1","1","2","1","5","10","11","15","10","7","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072658","usa_15203","CELTICS VC vs LOS ANGELES VBC 2:3","2026-05-21 19:00","TD Garden","CELTICS VC","Nowakowski, Roman","1745015","4","2","5","1","0","63.5","6","1","4","67","50","0","0","0","0","0","0","0","0","0","0","0","0","11","16","1","0","1","0","0","1","0","5.5","","0","0","0","0","0","0","11","16","0","1","10","0","0","1","63.5","57.5","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","0","4","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","12","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072658","usa_15203","CELTICS VC vs LOS ANGELES VBC 2:3","2026-05-21 19:00","TD Garden","CELTICS VC","Antonini, Gelindo","1949264","2","0","5","0","0","73","4","0","2","50","50","2","2","1","0","0","50","16","2","88","8","50","0","5","13","0","0","0","0","0","0","0","9.6","","0","0","0","0","0","0","5","13","0","0","3","0","0","2","73","63.1","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","5","4","4","1","14","1","0","1","0","0","0","0","0","0","0","0","0","1","0","0","25","0","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
"Usa","15203","1072658","usa_15203","CELTICS VC vs LOS ANGELES VBC 2:3","2026-05-21 19:00","TD Garden","CELTICS VC","Ghinzani, Massimo","1767526","1","0","12","1","1","82.1","0","0","0","0","0","9","7","2","2","1","33","0","0","0","0","0","0","8","22","29","5","53","13","21","11","8","4","","1","2","0","0","0","0","8","22","0","1","7","0","0","1","82.1","67.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","5","1","0","18","53","0","0","0","0","0","2","1","0","0","1","0","1","0","0","0","0","1","2","0","29","0","28","0","foreign-0.2.13-pbp-transition-direct-attack-fix","0","0","0"
