"Liga","Mecz","MatchId","Data","Arena","Drużyna","TeamId","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"Liga 15817","Leixoes vs Sporting CP 0:3","1273231","2026-09-22 19:00","Ilidio Ramos","Leixoes","134102","Sabino, Evandro","1683663","1","1","4","0","1","48.4","0","0","0","0","0","14","8","0","6","3","21","0","0","0","0","0","0","0","21","0","31","57","0","11","29","17","4.2","{""sets"":[{""h"":3,""a"":25},{""h"":9,""a"":25},{""h"":3,""a"":25}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""3 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""end"",""score"":""3 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""rally"",""score"":""3 : 25"",""speed"":""48.3 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""3 : 24"",""speed"":""59.5 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""3 : 23"",""speed"":""43.0 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""3 : 22"",""speed"":""42.7 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""3 : 21"",""speed"":""55.0 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""3 : 20"",""speed"":""53.5 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""3 : 19"",""speed"":""52.2 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""3 : 18"",""speed"":""61.7 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""3 : 17"",""speed"":""51.2 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""tmo"",""score"":""3 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""3 : 16"",""speed"":""48.7 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""3 : 15"",""speed"":""52.5 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""3 : 14"",""speed"":""48.6 km/h"",""res"":""Punkt: P. Płuciennik""},{""type"":""rally"",""score"":""3 : 13"",""speed"":""47.6 km/h"",""res"":""Błąd: P. Płuciennik""},{""type"":""rally"",""score"":""2 : 13"",""speed"":""50.3 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""2 : 12"",""speed"":""61.9 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""2 : 11"",""speed"":""51.7 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""2 : 10"",""speed"":""57.2 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""2 : 9"",""speed"":""60.2 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""tmo"",""score"":""2 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""2 : 8"",""speed"":""60.1 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""2 : 7"",""speed"":""46.9 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""2 : 6"",""speed"":""-"",""res"":""Błąd: E. Capraro""},{""type"":""rally"",""score"":""1 : 6"",""speed"":""59.2 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""1 : 5"",""speed"":""56.6 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""1 : 4"",""speed"":""45.8 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""49.3 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""48.5 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""-"",""res"":""Błąd: P. Płuciennik""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: P. Płuciennik ⇄ D. Kostov""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""43.9 km/h"",""res"":""Punkt: Z. Manov""}]},{""rallies"":[{""type"":""end"",""score"":""9 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""end"",""score"":""9 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""rally"",""score"":""9 : 25"",""speed"":""44.7 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""9 : 24"",""speed"":""41.5 km/h"",""res"":""Punkt: E. Capraro""},{""type"":""rally"",""score"":""9 : 23"",""speed"":""43.3 km/h"",""res"":""Punkt: D. Kostov""},{""type"":""rally"",""score"":""9 : 22"",""speed"":""48.4 km/h"",""res"":""Punkt: E. Capraro""},{""type"":""rally"",""score"":""9 : 21"",""speed"":""43.7 km/h"",""res"":""Punkt: E. Sabino""},{""type"":""rally"",""score"":""8 : 21"",""speed"":""-"",""res"":""Błąd: A. Luta""},{""type"":""rally"",""score"":""7 : 21"",""speed"":""45.6 km/h"",""res"":""Punkt: E. Capraro""},{""type"":""rally"",""score"":""7 : 20"",""speed"":""49.5 km/h"",""res"":""Punkt: E. Capraro""},{""type"":""rally"",""score"":""7 : 19"",""speed"":""48.5 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""7 : 18"",""speed"":""50.1 km/h"",""res"":""Błąd: S. Rocchi""},{""type"":""rally"",""score"":""6 : 18"",""speed"":""44.7 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""6 : 17"",""speed"":""50.0 km/h"",""res"":""Punkt: A. Luta""},{""type"":""tmo"",""score"":""6 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""6 : 16"",""speed"":""54.7 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""6 : 15"",""speed"":""54.7 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""6 : 14"",""speed"":""42.5 km/h"",""res"":""Punkt: D. Kostov""},{""type"":""rally"",""score"":""6 : 13"",""speed"":""-"",""res"":""Błąd: Z. Manov""},{""type"":""rally"",""score"":""5 : 13"",""speed"":""57.3 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""5 : 12"",""speed"":""42.5 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""5 : 11"",""speed"":""47.7 km/h"",""res"":""Błąd: A. Domalewski""},{""type"":""rally"",""score"":""4 : 11"",""speed"":""62.3 km/h"",""res"":""Punkt: A. Fraga""},{""type"":""rally"",""score"":""3 : 11"",""speed"":""43.8 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""3 : 10"",""speed"":""41.7 km/h"",""res"":""Błąd: E. Capraro""},{""type"":""rally"",""score"":""2 : 10"",""speed"":""-"",""res"":""Błąd: A. Veloso""},{""type"":""rally"",""score"":""2 : 9"",""speed"":""47.7 km/h"",""res"":""Błąd: Z. Manov""},{""type"":""rally"",""score"":""1 : 9"",""speed"":""43.1 km/h"",""res"":""Błąd: Z. Manov""},{""type"":""rally"",""score"":""0 : 9"",""speed"":""50.9 km/h"",""res"":""Punkt: D. Kostov""},{""type"":""tmo"",""score"":""0 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""0 : 8"",""speed"":""48.1 km/h"",""res"":""Punkt: M. Greguła""},{""type"":""rally"",""score"":""0 : 7"",""speed"":""47.6 km/h"",""res"":""Punkt: D. Kostov""},{""type"":""rally"",""score"":""0 : 6"",""speed"":""41.2 km/h"",""res"":""Punkt: E. Capraro""},{""type"":""rally"",""score"":""0 : 5"",""speed"":""48.6 km/h"",""res"":""Punkt: E. Capraro""},{""type"":""rally"",""score"":""0 : 4"",""speed"":""51.6 km/h"",""res"":""Punkt: D. Kostov""},{""type"":""rally"",""score"":""0 : 3"",""speed"":""43.4 km/h"",""res"":""Punkt: E. Capraro""},{""type"":""rally"",""score"":""0 : 2"",""speed"":""49.6 km/h"",""res"":""Błąd: E. Sabino""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""45.4 km/h"",""res"":""Punkt: D. Kostov""}]},{""rallies"":[{""type"":""end"",""score"":""3 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""end"",""score"":""3 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""rally"",""score"":""3 : 25"",""speed"":""51.4 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""3 : 24"",""speed"":""45.1 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""3 : 23"",""speed"":""43.0 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""3 : 22"",""speed"":""43.0 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""3 : 21"",""speed"":""57.3 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""3 : 20"",""speed"":""48.5 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""3 : 19"",""speed"":""-"",""res"":""Błąd: A. Fraga""},{""type"":""rally"",""score"":""3 : 18"",""speed"":""42.9 km/h"",""res"":""Błąd: S. Rocchi""},{""type"":""rally"",""score"":""2 : 18"",""speed"":""60.3 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""2 : 17"",""speed"":""52.1 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""2 : 16"",""speed"":""45.5 km/h"",""res"":""Błąd: A. Domalewski""},{""type"":""tmo"",""score"":""1 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""1 : 16"",""speed"":""58.7 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""1 : 15"",""speed"":""58.1 km/h"",""res"":""Punkt: Ç. Atabey""},{""type"":""rally"",""score"":""1 : 14"",""speed"":""52.7 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""1 : 13"",""speed"":""49.5 km/h"",""res"":""Punkt: Ç. Atabey""},{""type"":""rally"",""score"":""1 : 12"",""speed"":""56.6 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""1 : 11"",""speed"":""59.1 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""1 : 10"",""speed"":""45.2 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""1 : 9"",""speed"":""49.4 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""tmo"",""score"":""1 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""1 : 8"",""speed"":""41.5 km/h"",""res"":""Punkt: Z. Manov""},{""type"":""rally"",""score"":""1 : 7"",""speed"":""51.0 km/h"",""res"":""Punkt: Ç. Atabey""},{""type"":""rally"",""score"":""1 : 6"",""speed"":""56.1 km/h"",""res"":""Punkt: Ç. Atabey""},{""type"":""rally"",""score"":""1 : 5"",""speed"":""57.4 km/h"",""res"":""Punkt: A. Luta""},{""type"":""rally"",""score"":""1 : 4"",""speed"":""43.7 km/h"",""res"":""Punkt: A. Domalewski""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""49.6 km/h"",""res"":""Błąd: A. Domalewski""},{""type"":""rally"",""score"":""0 : 3"",""speed"":""56.3 km/h"",""res"":""Punkt: Ç. Atabey""},{""type"":""rally"",""score"":""0 : 2"",""speed"":""51.8 km/h"",""res"":""Punkt: P. Płuciennik""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: �. Atabey ⇄ E. Capraro""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: P. Płuciennik ⇄ D. Kostov""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""43.2 km/h"",""res"":""Punkt: E. Capraro""}]}]}","3","3","0","2","0","1","0","21","0","0","0","0","0","0","48.4","44.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","31","5","0","21","57","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","2","0","3","17","26","18","0","0","bulk-1.28.1-player-finance-snapshots","0","0","0"
"Liga 15817","Leixoes vs Sporting CP 0:3","1273231","2026-09-22 19:00","Ilidio Ramos","Leixoes","134102","Veloso, Amílcar","1683667","0","-9","4","1","0","48.5","12","7","0","0","-58","12","9","1","3","0","8","21","1","95","0","0","0","1","22","0","0","0","0","0","0","0","-16.3","","0","0","0","3","0","0","1","22","0","0","0","0","1","1","48.5","46.6","0","0","1","0","3","4","0","0","2","0","0","2","0","0","1","0","2","3","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","4","11","5","20","1","0","1","0","0","0","0","0","0","0","0","0","3","13","16","9","0","0","bulk-1.28.1-player-finance-snapshots","0","0","0"
"Liga 15817","Leixoes vs Sporting CP 0:3","1273231","2026-09-22 19:00","Ilidio Ramos","Leixoes","134102","Furnas, Egídio","1683670","0","-5","3","0","0","52.1","9","5","0","0","-56","2","0","0","2","0","0","0","0","0","0","0","0","5","25","0","0","0","0","0","0","0","-7.5","","0","0","0","2","0","0","5","25","0","0","1","0","0","4","52.1","47.6","0","0","1","0","2","3","0","0","2","0","0","2","0","0","0","0","0","0","0","0","2","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","4","6","0","0","bulk-1.28.1-player-finance-snapshots","0","0","0"
"Liga 15817","Leixoes vs Sporting CP 0:3","1273231","2026-09-22 19:00","Ilidio Ramos","Leixoes","134102","Fraga, Aventino","1683665","1","-10","4","1","0","48.6","17","10","0","0","-59","10","6","0","4","0","0","0","0","0","0","0","1","4","29","0","0","0","0","0","0","0","-24.8","","0","0","0","4","0","0","4","29","1","0","3","0","0","1","48.6","46.3","0","0","2","0","3","5","0","0","3","0","0","3","0","0","2","0","2","4","0","0","0","0","0","0","0","0","3","0","2","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","9","10","7","0","0","bulk-1.28.1-player-finance-snapshots","0","0","0"
"Liga 15817","Leixoes vs Sporting CP 0:3","1273231","2026-09-22 19:00","Ilidio Ramos","Leixoes","134102","Cristovão, Sócrates","1683668","4","-14","1","0","0","42.5","14","7","4","29","-21","7","4","1","3","0","14","25","11","56","0","0","0","0","28","0","0","0","0","0","0","0","-22.3","","0","0","0","3","0","0","0","28","0","0","0","0","0","0","42.5","42.5","0","0","2","1","2","5","0","0","3","2","0","5","0","0","0","1","0","1","0","0","0","0","0","0","0","0","2","0","1","3","0","0","0","0","0","0","0","1","6","7","14","1","0","0","0","1","0","0","0","0","0","0","0","3","9","16","14","0","0","bulk-1.28.1-player-finance-snapshots","0","0","0"
"Liga 15817","Leixoes vs Sporting CP 0:3","1273231","2026-09-22 19:00","Ilidio Ramos","Leixoes","134102","Guedes, Domingos","1683671","1","-2","1","0","0","48.5","8","3","1","13","-25","2","1","0","1","0","0","0","0","0","0","0","0","4","25","0","0","0","0","0","0","0","-2.5","","0","0","0","1","0","0","4","25","0","1","2","0","0","2","48.5","48.5","0","0","0","0","3","3","0","0","1","1","0","2","0","0","0","0","0","0","0","0","2","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","2","5","3","0","0","bulk-1.28.1-player-finance-snapshots","0","0","0"
"Liga 15817","Leixoes vs Sporting CP 0:3","1273231","2026-09-22 19:00","Ilidio Ramos","Leixoes","134102","Agostinho, Santos","1683673","0","-3","0","0","0","0","0","0","0","0","0","17","12","1","5","0","6","23","3","87","0","0","0","0","0","0","1","3","0","0","3","0","2.8","","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","3","0","4","12","4","20","1","0","1","0","0","0","0","0","0","0","0","0","3","9","9","13","0","0","bulk-1.28.1-player-finance-snapshots","0","0","0"
"Liga 15817","Leixoes vs Sporting CP 0:3","1273231","2026-09-22 19:00","Ilidio Ramos","Sporting CP","134209","Greguła, Michał","1642832","3","3","13","0","1","51.6","0","0","0","0","0","5","0","0","5","5","100","0","0","0","0","0","2","18","26","34","1","45","35","8","1","1","11","","3","3","0","0","2","2","18","26","0","0","9","2","1","9","51.6","46.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","1","2","2","6","45","0","0","0","0","0","0","0","0","0","0","0","5","3","0","2","0","0","3","13","28","10","0","0","bulk-1.28.1-player-finance-snapshots","0","0","0"
"Liga 15817","Leixoes vs Sporting CP 0:3","1273231","2026-09-22 19:00","Ilidio Ramos","Sporting CP","134209","Kostov, Dimitar","1864639","7","6","1","0","0","41.7","12","1","7","58","50","2","0","0","2","2","100","1","0","100","0","0","0","2","23","0","0","0","0","0","0","0","23.7","","1","1","0","0","1","1","2","23","0","0","1","0","0","1","41.7","41.7","0","0","0","0","1","1","1","0","1","1","0","3","4","0","0","0","2","6","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","2","0","1","0","1","0","2","0","12","1","0","0","bulk-1.28.1-player-finance-snapshots","0","0","0"
"Liga 15817","Leixoes vs Sporting CP 0:3","1273231","2026-09-22 19:00","Ilidio Ramos","Sporting CP","134209","Capraro, Emilio","1903520","10","9","6","1","0","62.3","3","0","3","100","100","3","0","0","3","1","33","0","0","0","0","0","7","15","19","0","0","0","0","0","0","0","26.4","","0","0","0","1","1","2","15","19","5","0","9","2","1","6","62.3","54.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","5","11","1","0","0","bulk-1.28.1-player-finance-snapshots","0","0","0"
