"Liga","LeagueId","SeasonId","Round","Date","DateIso","MatchId","Status","HomeTeam","HomeTeamId","AwayTeam","AwayTeamId","Score","HomeSets","AwaySets","Key","RawText"
"1.1","15198","194","1","2026-09-01 19:00","2026-09-01 19:00","","scheduled","Bolek i lolek 🤙","128586","Millennium Siemianowice","130955","","","","15198|194|1|128586|130955|2026-09-01 19:00",""
"1.1","15198","194","1","2026-09-01 19:00","2026-09-01 19:00","","scheduled","DHARMA Initiative","128577","Dano Dream Team","130607","","","","15198|194|1|128577|130607|2026-09-01 19:00",""
"1.1","15198","194","1","2026-09-01 19:00","2026-09-01 19:00","","scheduled","Kuźnia Byków","130744","AKS Volley Łódź","131002","","","","15198|194|1|130744|131002|2026-09-01 19:00",""
"1.1","15198","194","1","2026-09-01 19:00","2026-09-01 19:00","","scheduled","Najlepsi z Najlepszych","130520","Sprzeda Mecz","128663","","","","15198|194|1|130520|128663|2026-09-01 19:00",""
"1.1","15198","194","1","2026-09-01 19:00","2026-09-01 19:00","","scheduled","Pilica Koniecpol","130885","Karasuno","128635","","","","15198|194|1|130885|128635|2026-09-01 19:00",""
"1.1","15198","194","1","2026-09-01 19:00","2026-09-01 19:00","","scheduled","Tsunami Rzeplin","128717","☣️ MY TU TEGO BAGNO 💩💩 🔝","130911","","","","15198|194|1|128717|130911|2026-09-01 19:00",""
"1.1","15198","194","1","2026-09-01 19:00","2026-09-01 19:00","","scheduled","VC Kittens","128580","Dzikie Rumaxy","128638","","","","15198|194|1|128580|128638|2026-09-01 19:00",""
"1.1","15198","194","1","2026-09-01 19:00","2026-09-01 19:00","","scheduled","Vikings","128756","RKS","128588","","","","15198|194|1|128756|128588|2026-09-01 19:00",""
"1.1","15198","194","2","2026-09-03 19:00","2026-09-03 19:00","","scheduled","☣️ MY TU TEGO BAGNO 💩💩 🔝","130911","VC Kittens","128580","","","","15198|194|2|130911|128580|2026-09-03 19:00",""
"1.1","15198","194","2","2026-09-03 19:00","2026-09-03 19:00","","scheduled","AKS Volley Łódź","131002","Karasuno","128635","","","","15198|194|2|131002|128635|2026-09-03 19:00",""
"1.1","15198","194","2","2026-09-03 19:00","2026-09-03 19:00","","scheduled","Dano Dream Team","130607","Dzikie Rumaxy","128638","","","","15198|194|2|130607|128638|2026-09-03 19:00",""
"1.1","15198","194","2","2026-09-03 19:00","2026-09-03 19:00","","scheduled","DHARMA Initiative","128577","Kuźnia Byków","130744","","","","15198|194|2|128577|130744|2026-09-03 19:00",""
"1.1","15198","194","2","2026-09-03 19:00","2026-09-03 19:00","","scheduled","Millennium Siemianowice","130955","Vikings","128756","","","","15198|194|2|130955|128756|2026-09-03 19:00",""
"1.1","15198","194","2","2026-09-03 19:00","2026-09-03 19:00","","scheduled","Pilica Koniecpol","130885","Bolek i lolek 🤙","128586","","","","15198|194|2|130885|128586|2026-09-03 19:00",""
"1.1","15198","194","2","2026-09-03 19:00","2026-09-03 19:00","","scheduled","RKS","128588","Najlepsi z Najlepszych","130520","","","","15198|194|2|128588|130520|2026-09-03 19:00",""
"1.1","15198","194","2","2026-09-03 19:00","2026-09-03 19:00","","scheduled","Sprzeda Mecz","128663","Tsunami Rzeplin","128717","","","","15198|194|2|128663|128717|2026-09-03 19:00",""
"1.1","15198","194","3","2026-09-05 19:00","2026-09-05 19:00","","scheduled","☣️ MY TU TEGO BAGNO 💩💩 🔝","130911","Sprzeda Mecz","128663","","","","15198|194|3|130911|128663|2026-09-05 19:00",""
"1.1","15198","194","3","2026-09-05 19:00","2026-09-05 19:00","","scheduled","Bolek i lolek 🤙","128586","AKS Volley Łódź","131002","","","","15198|194|3|128586|131002|2026-09-05 19:00",""
"1.1","15198","194","3","2026-09-05 19:00","2026-09-05 19:00","","scheduled","Dano Dream Team","130607","VC Kittens","128580","","","","15198|194|3|130607|128580|2026-09-05 19:00",""
"1.1","15198","194","3","2026-09-05 19:00","2026-09-05 19:00","","scheduled","Karasuno","128635","DHARMA Initiative","128577","","","","15198|194|3|128635|128577|2026-09-05 19:00",""
"1.1","15198","194","3","2026-09-05 19:00","2026-09-05 19:00","","scheduled","Kuźnia Byków","130744","Dzikie Rumaxy","128638","","","","15198|194|3|130744|128638|2026-09-05 19:00",""
"1.1","15198","194","3","2026-09-05 19:00","2026-09-05 19:00","","scheduled","Najlepsi z Najlepszych","130520","Millennium Siemianowice","130955","","","","15198|194|3|130520|130955|2026-09-05 19:00",""
"1.1","15198","194","3","2026-09-05 19:00","2026-09-05 19:00","","scheduled","Tsunami Rzeplin","128717","RKS","128588","","","","15198|194|3|128717|128588|2026-09-05 19:00",""
"1.1","15198","194","3","2026-09-05 19:00","2026-09-05 19:00","","scheduled","Vikings","128756","Pilica Koniecpol","130885","","","","15198|194|3|128756|130885|2026-09-05 19:00",""
"1.1","15198","194","4","2026-09-06 19:00","2026-09-06 19:00","","scheduled","AKS Volley Łódź","131002","Vikings","128756","","","","15198|194|4|131002|128756|2026-09-06 19:00",""
"1.1","15198","194","4","2026-09-06 19:00","2026-09-06 19:00","","scheduled","Bolek i lolek 🤙","128586","DHARMA Initiative","128577","","","","15198|194|4|128586|128577|2026-09-06 19:00",""
