"Liga","LeagueId","SeasonId","Round","Date","DateIso","MatchId","Status","HomeTeam","HomeTeamId","AwayTeam","AwayTeamId","Score","HomeSets","AwaySets","Key","RawText"
"Liga 15178","15178","196","1","","","1248790","scheduled","Captainovich","129291","Beachteam","129233","","","","match:1248790",""
"Liga 15178","15178","196","1","","","1248788","scheduled","Corsico","129205","Laprune","129069","","","","match:1248788",""
"Liga 15178","15178","196","1","","","1248785","scheduled","KrisdelPouget","129059","Les Outsiders","129083","","","","match:1248785",""
"Liga 15178","15178","196","1","","","1248784","scheduled","Montpellier Beach Volley","129070","VodkaLeRetour","129071","","","","match:1248784",""
"Liga 15178","15178","196","1","","","1248787","scheduled","ndoudou","129060","Les Frondeurs","129080","","","","match:1248787",""
"Liga 15178","15178","196","1","","","1248786","scheduled","One Again A Bistoufly","129094","...Loser Life...?","129062","","","","match:1248786",""
"Liga 15178","15178","196","1","","","1248783","scheduled","SetnSun","129144","SMS Marquette VB","129064","","","","match:1248783",""
"Liga 15178","15178","196","1","","","1248789","scheduled","US PESSICART VB","129111","Evolite VB","137714","","","","match:1248789",""
"Liga 15178","15178","196","2","","","1248791","scheduled","Beachteam","129233","SetnSun","129144","","","","match:1248791",""
"Liga 15178","15178","196","2","","","1248792","scheduled","Evolite VB","137714","Captainovich","129291","","","","match:1248792",""
"Liga 15178","15178","196","2","","","1248793","scheduled","Laprune","129069","US PESSICART VB","129111","","","","match:1248793",""
"Liga 15178","15178","196","2","","","1248794","scheduled","Les Frondeurs","129080","Corsico","129205","","","","match:1248794",""
"Liga 15178","15178","196","2","","","1248796","scheduled","Les Outsiders","129083","...Loser Life...?","129062","","","","match:1248796",""
"Liga 15178","15178","196","2","","","1248797","scheduled","Montpellier Beach Volley","129070","KrisdelPouget","129059","","","","match:1248797",""
"Liga 15178","15178","196","2","","","1248795","scheduled","One Again A Bistoufly","129094","ndoudou","129060","","","","match:1248795",""
"Liga 15178","15178","196","2","","","1248798","scheduled","VodkaLeRetour","129071","SMS Marquette VB","129064","","","","match:1248798",""
"Liga 15178","15178","196","3","","","1248801","scheduled","...Loser Life...?","129062","Montpellier Beach Volley","129070","","","","match:1248801",""
"Liga 15178","15178","196","3","","","1248806","scheduled","Beachteam","129233","Evolite VB","137714","","","","match:1248806",""
"Liga 15178","15178","196","3","","","1248805","scheduled","Captainovich","129291","Laprune","129069","","","","match:1248805",""
"Liga 15178","15178","196","3","","","1248803","scheduled","Corsico","129205","One Again A Bistoufly","129094","","","","match:1248803",""
"Liga 15178","15178","196","3","","","1248800","scheduled","KrisdelPouget","129059","SMS Marquette VB","129064","","","","match:1248800",""
"Liga 15178","15178","196","3","","","1248802","scheduled","ndoudou","129060","Les Outsiders","129083","","","","match:1248802",""
"Liga 15178","15178","196","3","","","1248804","scheduled","US PESSICART VB","129111","Les Frondeurs","129080","","","","match:1248804",""
"Liga 15178","15178","196","3","","","1248799","scheduled","VodkaLeRetour","129071","SetnSun","129144","","","","match:1248799",""
"Liga 15178","15178","196","4","","","1248814","scheduled","KrisdelPouget","129059","VodkaLeRetour","129071","","","","match:1248814",""
"Liga 15178","15178","196","4","","","1248808","scheduled","Laprune","129069","Beachteam","129233","","","","match:1248808",""
"Liga 15178","15178","196","4","","","1248809","scheduled","Les Frondeurs","129080","Captainovich","129291","","","","match:1248809",""
"Liga 15178","15178","196","4","","","1248811","scheduled","Les Outsiders","129083","Corsico","129205","","","","match:1248811",""
"Liga 15178","15178","196","4","","","1248812","scheduled","ndoudou","129060","Montpellier Beach Volley","129070","","","","match:1248812",""
"Liga 15178","15178","196","4","","","1248810","scheduled","One Again A Bistoufly","129094","US PESSICART VB","129111","","","","match:1248810",""
"Liga 15178","15178","196","4","","","1248807","scheduled","SetnSun","129144","Evolite VB","137714","","","","match:1248807",""
"Liga 15178","15178","196","4","","","1248813","scheduled","SMS Marquette VB","129064","...Loser Life...?","129062","","","","match:1248813",""
"Liga 15178","15178","196","5","","","1248816","scheduled","...Loser Life...?","129062","VodkaLeRetour","129071","","","","match:1248816",""
"Liga 15178","15178","196","5","","","1248821","scheduled","Beachteam","129233","Les Frondeurs","129080","","","","match:1248821",""
"Liga 15178","15178","196","5","","","1248820","scheduled","Captainovich","129291","One Again A Bistoufly","129094","","","","match:1248820",""
"Liga 15178","15178","196","5","","","1248818","scheduled","Corsico","129205","Montpellier Beach Volley","129070","","","","match:1248818",""
"Liga 15178","15178","196","5","","","1248822","scheduled","Evolite VB","137714","Laprune","129069","","","","match:1248822",""
"Liga 15178","15178","196","5","","","1248817","scheduled","ndoudou","129060","SMS Marquette VB","129064","","","","match:1248817",""
"Liga 15178","15178","196","5","","","1248815","scheduled","SetnSun","129144","KrisdelPouget","129059","","","","match:1248815",""
"Liga 15178","15178","196","5","","","1248819","scheduled","US PESSICART VB","129111","Les Outsiders","129083","","","","match:1248819",""
"Liga 15178","15178","196","6","","","1248830","scheduled","KrisdelPouget","129059","...Loser Life...?","129062","","","","match:1248830",""
"Liga 15178","15178","196","6","","","1248823","scheduled","Laprune","129069","SetnSun","129144","","","","match:1248823",""
"Liga 15178","15178","196","6","","","1248824","scheduled","Les Frondeurs","129080","Evolite VB","137714","","","","match:1248824",""
"Liga 15178","15178","196","6","","","1248826","scheduled","Les Outsiders","129083","Captainovich","129291","","","","match:1248826",""
"Liga 15178","15178","196","6","","","1248827","scheduled","Montpellier Beach Volley","129070","US PESSICART VB","129111","","","","match:1248827",""
"Liga 15178","15178","196","6","","","1248825","scheduled","One Again A Bistoufly","129094","Beachteam","129233","","","","match:1248825",""
"Liga 15178","15178","196","6","","","1248828","scheduled","SMS Marquette VB","129064","Corsico","129205","","","","match:1248828",""
"Liga 15178","15178","196","6","","","1248829","scheduled","VodkaLeRetour","129071","ndoudou","129060","","","","match:1248829",""
"Liga 15178","15178","196","7","","","1248831","scheduled","...Loser Life...?","129062","SetnSun","129144","","","","match:1248831",""
"Liga 15178","15178","196","7","","","1248836","scheduled","Beachteam","129233","Les Outsiders","129083","","","","match:1248836",""
"Liga 15178","15178","196","7","","","1248835","scheduled","Captainovich","129291","Montpellier Beach Volley","129070","","","","match:1248835",""
"Liga 15178","15178","196","7","","","1248833","scheduled","Corsico","129205","VodkaLeRetour","129071","","","","match:1248833",""
"Liga 15178","15178","196","7","","","1248837","scheduled","Evolite VB","137714","One Again A Bistoufly","129094","","","","match:1248837",""
"Liga 15178","15178","196","7","","","1248838","scheduled","Laprune","129069","Les Frondeurs","129080","","","","match:1248838",""
"Liga 15178","15178","196","7","","","1248832","scheduled","ndoudou","129060","KrisdelPouget","129059","","","","match:1248832",""
"Liga 15178","15178","196","7","","","1248834","scheduled","US PESSICART VB","129111","SMS Marquette VB","129064","","","","match:1248834",""
"Liga 15178","15178","196","8","","","1248846","scheduled","...Loser Life...?","129062","ndoudou","129060","","","","match:1248846",""
"Liga 15178","15178","196","8","","","1248845","scheduled","KrisdelPouget","129059","Corsico","129205","","","","match:1248845",""
"Liga 15178","15178","196","8","","","1248841","scheduled","Les Outsiders","129083","Evolite VB","137714","","","","match:1248841",""
"Liga 15178","15178","196","8","","","1248842","scheduled","Montpellier Beach Volley","129070","Beachteam","129233","","","","match:1248842",""
"Liga 15178","15178","196","8","","","1248840","scheduled","One Again A Bistoufly","129094","Laprune","129069","","","","match:1248840",""
"Liga 15178","15178","196","8","","","1248839","scheduled","SetnSun","129144","Les Frondeurs","129080","","","","match:1248839",""
"Liga 15178","15178","196","8","","","1248843","scheduled","SMS Marquette VB","129064","Captainovich","129291","","","","match:1248843",""
