"Liga","LeagueId","SeasonId","Round","Date","DateIso","MatchId","Status","HomeTeam","HomeTeamId","AwayTeam","AwayTeamId","Score","HomeSets","AwaySets","Key","RawText"
"Liga 15813","15813","202","1","","","1272175","scheduled","Ace Force One","134141","Fantasy Gaming","134115","","","","match:1272175",""
"Liga 15813","15813","202","1","","","1272176","scheduled","Bazofias","134124","SC Espinho","134131","","","","match:1272176",""
"Liga 15813","15813","202","1","","","1272181","scheduled","Bermudas","134161","Matarroa VC","134180","","","","match:1272181",""
"Liga 15813","15813","202","1","","","1272182","scheduled","Coke Volley","134140","Essa Bola VC","130308","","","","match:1272182",""
"Liga 15813","15813","202","1","","","1272177","scheduled","Operário da Lagoa","130344","Wombats","134224","","","","match:1272177",""
"Liga 15813","15813","202","1","","","1272178","scheduled","Porto FC","134164","Hienas","134225","","","","match:1272178",""
"Liga 15813","15813","202","1","","","1272179","scheduled","Quilmes Azores","134205","Rexona Ades","134198","","","","match:1272179",""
"Liga 15813","15813","202","1","","","1272180","scheduled","VolleyballFitares","134176","Lisboa S.C.","134206","","","","match:1272180",""
"Liga 15813","15813","202","2","","","1272189","scheduled","Bazofias","134124","Operário da Lagoa","130344","","","","match:1272189",""
"Liga 15813","15813","202","2","","","1272183","scheduled","Essa Bola VC","130308","Ace Force One","134141","","","","match:1272183",""
"Liga 15813","15813","202","2","","","1272185","scheduled","Lisboa S.C.","134206","Bermudas","134161","","","","match:1272185",""
"Liga 15813","15813","202","2","","","1272184","scheduled","Matarroa VC","134180","Coke Volley","134140","","","","match:1272184",""
"Liga 15813","15813","202","2","","","1272187","scheduled","Porto FC","134164","Quilmes Azores","134205","","","","match:1272187",""
"Liga 15813","15813","202","2","","","1272186","scheduled","Rexona Ades","134198","VolleyballFitares","134176","","","","match:1272186",""
"Liga 15813","15813","202","2","","","1272190","scheduled","SC Espinho","134131","Fantasy Gaming","134115","","","","match:1272190",""
"Liga 15813","15813","202","2","","","1272188","scheduled","Wombats","134224","Hienas","134225","","","","match:1272188",""
"Liga 15813","15813","202","3","","","1272196","scheduled","Bermudas","134161","Rexona Ades","134198","","","","match:1272196",""
"Liga 15813","15813","202","3","","","1272197","scheduled","Coke Volley","134140","Lisboa S.C.","134206","","","","match:1272197",""
"Liga 15813","15813","202","3","","","1272198","scheduled","Essa Bola VC","130308","Matarroa VC","134180","","","","match:1272198",""
"Liga 15813","15813","202","3","","","1272193","scheduled","Hienas","134225","Bazofias","134124","","","","match:1272193",""
"Liga 15813","15813","202","3","","","1272192","scheduled","Operário da Lagoa","130344","Fantasy Gaming","134115","","","","match:1272192",""
"Liga 15813","15813","202","3","","","1272194","scheduled","Quilmes Azores","134205","Wombats","134224","","","","match:1272194",""
"Liga 15813","15813","202","3","","","1272191","scheduled","SC Espinho","134131","Ace Force One","134141","","","","match:1272191",""
"Liga 15813","15813","202","3","","","1272195","scheduled","VolleyballFitares","134176","Porto FC","134164","","","","match:1272195",""
"Liga 15813","15813","202","4","","","1272199","scheduled","Ace Force One","134141","Matarroa VC","134180","","","","match:1272199",""
"Liga 15813","15813","202","4","","","1272205","scheduled","Fantasy Gaming","134115","Hienas","134225","","","","match:1272205",""
"Liga 15813","15813","202","4","","","1272200","scheduled","Lisboa S.C.","134206","Essa Bola VC","130308","","","","match:1272200",""
"Liga 15813","15813","202","4","","","1272206","scheduled","Operário da Lagoa","130344","SC Espinho","134131","","","","match:1272206",""
"Liga 15813","15813","202","4","","","1272202","scheduled","Porto FC","134164","Bermudas","134161","","","","match:1272202",""
"Liga 15813","15813","202","4","","","1272204","scheduled","Quilmes Azores","134205","Bazofias","134124","","","","match:1272204",""
"Liga 15813","15813","202","4","","","1272201","scheduled","Rexona Ades","134198","Coke Volley","134140","","","","match:1272201",""
"Liga 15813","15813","202","4","","","1272203","scheduled","Wombats","134224","VolleyballFitares","134176","","","","match:1272203",""
"Liga 15813","15813","202","5","","","1272207","scheduled","Ace Force One","134141","Operário da Lagoa","130344","","","","match:1272207",""
"Liga 15813","15813","202","5","","","1272211","scheduled","Bermudas","134161","Wombats","134224","","","","match:1272211",""
"Liga 15813","15813","202","5","","","1272212","scheduled","Coke Volley","134140","Porto FC","134164","","","","match:1272212",""
"Liga 15813","15813","202","5","","","1272213","scheduled","Essa Bola VC","130308","Rexona Ades","134198","","","","match:1272213",""
"Liga 15813","15813","202","5","","","1272208","scheduled","Hienas","134225","SC Espinho","134131","","","","match:1272208",""
"Liga 15813","15813","202","5","","","1272214","scheduled","Matarroa VC","134180","Lisboa S.C.","134206","","","","match:1272214",""
"Liga 15813","15813","202","5","","","1272209","scheduled","Quilmes Azores","134205","Fantasy Gaming","134115","","","","match:1272209",""
"Liga 15813","15813","202","5","","","1272210","scheduled","VolleyballFitares","134176","Bazofias","134124","","","","match:1272210",""
"Liga 15813","15813","202","6","","","1272219","scheduled","Bazofias","134124","Bermudas","134161","","","","match:1272219",""
"Liga 15813","15813","202","6","","","1272220","scheduled","Fantasy Gaming","134115","VolleyballFitares","134176","","","","match:1272220",""
"Liga 15813","15813","202","6","","","1272215","scheduled","Lisboa S.C.","134206","Ace Force One","134141","","","","match:1272215",""
"Liga 15813","15813","202","6","","","1272222","scheduled","Operário da Lagoa","130344","Hienas","134225","","","","match:1272222",""
"Liga 15813","15813","202","6","","","1272217","scheduled","Porto FC","134164","Essa Bola VC","130308","","","","match:1272217",""
"Liga 15813","15813","202","6","","","1272216","scheduled","Rexona Ades","134198","Matarroa VC","134180","","","","match:1272216",""
"Liga 15813","15813","202","6","","","1272221","scheduled","SC Espinho","134131","Quilmes Azores","134205","","","","match:1272221",""
"Liga 15813","15813","202","6","","","1272218","scheduled","Wombats","134224","Coke Volley","134140","","","","match:1272218",""
"Liga 15813","15813","202","7","","","1272226","scheduled","Bermudas","134161","Fantasy Gaming","134115","","","","match:1272226",""
"Liga 15813","15813","202","7","","","1272227","scheduled","Coke Volley","134140","Bazofias","134124","","","","match:1272227",""
"Liga 15813","15813","202","7","","","1272228","scheduled","Essa Bola VC","130308","Wombats","134224","","","","match:1272228",""
"Liga 15813","15813","202","7","","","1272223","scheduled","Hienas","134225","Ace Force One","134141","","","","match:1272223",""
"Liga 15813","15813","202","7","","","1272230","scheduled","Lisboa S.C.","134206","Rexona Ades","134198","","","","match:1272230",""
"Liga 15813","15813","202","7","","","1272229","scheduled","Matarroa VC","134180","Porto FC","134164","","","","match:1272229",""
"Liga 15813","15813","202","7","","","1272224","scheduled","Quilmes Azores","134205","Operário da Lagoa","130344","","","","match:1272224",""
"Liga 15813","15813","202","7","","","1272225","scheduled","VolleyballFitares","134176","SC Espinho","134131","","","","match:1272225",""
"Liga 15813","15813","202","8","","","1272231","scheduled","Ace Force One","134141","Rexona Ades","134198","","","","match:1272231",""
"Liga 15813","15813","202","8","","","1272234","scheduled","Bazofias","134124","Essa Bola VC","130308","","","","match:1272234",""
"Liga 15813","15813","202","8","","","1272235","scheduled","Fantasy Gaming","134115","Coke Volley","134140","","","","match:1272235",""
"Liga 15813","15813","202","8","","","1272238","scheduled","Hienas","134225","Quilmes Azores","134205","","","","match:1272238",""
"Liga 15813","15813","202","8","","","1272237","scheduled","Operário da Lagoa","130344","VolleyballFitares","134176","","","","match:1272237",""
"Liga 15813","15813","202","8","","","1272232","scheduled","Porto FC","134164","Lisboa S.C.","134206","","","","match:1272232",""
"Liga 15813","15813","202","8","","","1272236","scheduled","SC Espinho","134131","Bermudas","134161","","","","match:1272236",""
"Liga 15813","15813","202","8","","","1272233","scheduled","Wombats","134224","Matarroa VC","134180","","","","match:1272233",""
"Liga 15813","15813","202","9","","","1272241","scheduled","Bermudas","134161","Operário da Lagoa","130344","","","","match:1272241",""
"Liga 15813","15813","202","9","","","1272242","scheduled","Coke Volley","134140","SC Espinho","134131","","","","match:1272242",""
"Liga 15813","15813","202","9","","","1272243","scheduled","Essa Bola VC","130308","Fantasy Gaming","134115","","","","match:1272243",""
"Liga 15813","15813","202","9","","","1272245","scheduled","Lisboa S.C.","134206","Wombats","134224","","","","match:1272245",""
"Liga 15813","15813","202","9","","","1272244","scheduled","Matarroa VC","134180","Bazofias","134124","","","","match:1272244",""
"Liga 15813","15813","202","9","","","1272239","scheduled","Quilmes Azores","134205","Ace Force One","134141","","","","match:1272239",""
"Liga 15813","15813","202","9","","","1272246","scheduled","Rexona Ades","134198","Porto FC","134164","","","","match:1272246",""
"Liga 15813","15813","202","9","","","1272240","scheduled","VolleyballFitares","134176","Hienas","134225","","","","match:1272240",""
"Liga 15813","15813","202","10","","","1272247","scheduled","Ace Force One","134141","Porto FC","134164","","","","match:1272247",""
"Liga 15813","15813","202","10","","","1272249","scheduled","Bazofias","134124","Lisboa S.C.","134206","","","","match:1272249",""
"Liga 15813","15813","202","10","","","1272250","scheduled","Fantasy Gaming","134115","Matarroa VC","134180","","","","match:1272250",""
"Liga 15813","15813","202","10","","","1272253","scheduled","Hienas","134225","Bermudas","134161","","","","match:1272253",""
"Liga 15813","15813","202","10","","","1272252","scheduled","Operário da Lagoa","130344","Coke Volley","134140","","","","match:1272252",""
"Liga 15813","15813","202","10","","","1272254","scheduled","Quilmes Azores","134205","VolleyballFitares","134176","","","","match:1272254",""
"Liga 15813","15813","202","10","","","1272251","scheduled","SC Espinho","134131","Essa Bola VC","130308","","","","match:1272251",""
"Liga 15813","15813","202","10","","","1272248","scheduled","Wombats","134224","Rexona Ades","134198","","","","match:1272248",""
"Liga 15813","15813","202","11","","","1272256","scheduled","Bermudas","134161","Quilmes Azores","134205","","","","match:1272256",""
"Liga 15813","15813","202","11","","","1272257","scheduled","Coke Volley","134140","Hienas","134225","","","","match:1272257",""
"Liga 15813","15813","202","11","","","1272258","scheduled","Essa Bola VC","130308","Operário da Lagoa","130344","","","","match:1272258",""
"Liga 15813","15813","202","11","","","1272260","scheduled","Lisboa S.C.","134206","Fantasy Gaming","134115","","","","match:1272260",""
"Liga 15813","15813","202","11","","","1272259","scheduled","Matarroa VC","134180","SC Espinho","134131","","","","match:1272259",""
"Liga 15813","15813","202","11","","","1272262","scheduled","Porto FC","134164","Wombats","134224","","","","match:1272262",""
