"Liga","Mecz","MatchId","Data","Arena","Drużyna","TeamId","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","PBP_Przyjecie_Blok0","PBP_Przyjecie_Blok1","PBP_Przyjecie_Blok2","PBP_Przyjecie_Blok3","PBP_Przyjecie_Blok_Razem","PBP_OB_Atak_Razem","PBP_OB_Atak_Punkt","PBP_OB_Atak_Blok","PBP_OB_Atak_Blad","PBP_OB_Atak_Obroniony","PBP_OB_Atak_Inne","PBP_SEK_Atak_Razem","PBP_SEK_Atak_Punkt","PBP_SEK_Atak_Blok","PBP_SEK_Atak_Blad","PBP_SEK_Atak_Obroniony","PBP_SEK_Atak_Inne","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Exporter_Version","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"3.5","SKS Iłżanka Baranów vs Iskra Krosno 0:3","707684","2025-10-25 17:00","Volley Arena","SKS Iłżanka Baranów","128715","Białek, Wiktor","1975473","4","3","7","1","1","51.6","0","0","0","0","0","12","8","2","4","0","17","0","0","0","0","0","3","13","35","16","14","59","4","19","15","21","12.6","{""sets"":[{""h"":18,""a"":25},{""h"":22,""a"":25},{""h"":8,""a"":25}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""18 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""end"",""score"":""18 : 25"",""txt"":""Koniec seta 0 : 1""},{""type"":""rally"",""score"":""18 : 25"",""speed"":""45.6 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""18 : 24"",""speed"":""46.2 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""17 : 24"",""speed"":""51.5 km/h"",""res"":""Punkt: D. Budziak""},{""type"":""rally"",""score"":""16 : 24"",""speed"":""55.9 km/h"",""res"":""Punkt: M. Ćwiok""},{""type"":""rally"",""score"":""16 : 23"",""speed"":""60.6 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""16 : 22"",""speed"":""51.6 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""16 : 21"",""speed"":""47.9 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""15 : 21"",""speed"":""48.1 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""15 : 20"",""speed"":""44.6 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""tmo"",""score"":""14 : 20"",""txt"":""Czas dla: Iskra Krosno""},{""type"":""rally"",""score"":""14 : 20"",""speed"":""52.6 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""14 : 19"",""speed"":""48.0 km/h"",""res"":""Punkt: W. Białek""},{""type"":""rally"",""score"":""13 : 19"",""speed"":""60.9 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""13 : 18"",""speed"":""69.0 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""rally"",""score"":""12 : 18"",""speed"":""-"",""res"":""Błąd: O. Antunes""},{""type"":""rally"",""score"":""11 : 18"",""speed"":""48.2 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""11 : 17"",""speed"":""53.9 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""10 : 17"",""speed"":""62.4 km/h"",""res"":""Punkt: O. Antunes""},{""type"":""tmo"",""score"":""10 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""10 : 16"",""speed"":""47.4 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""10 : 15"",""speed"":""51.0 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""9 : 15"",""speed"":""47.7 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""9 : 14"",""speed"":""53.6 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""8 : 14"",""speed"":""55.0 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""8 : 13"",""speed"":""49.5 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""rally"",""score"":""7 : 13"",""speed"":""56.6 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""7 : 12"",""speed"":""53.6 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""rally"",""score"":""6 : 12"",""speed"":""-"",""res"":""Błąd: D. Budziak""},{""type"":""rally"",""score"":""6 : 11"",""speed"":""58.5 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""rally"",""score"":""5 : 11"",""speed"":""64.5 km/h"",""res"":""Błąd: D. Budziak""},{""type"":""rally"",""score"":""5 : 10"",""speed"":""50.9 km/h"",""res"":""Punkt: M. Ćwiok""},{""type"":""rally"",""score"":""5 : 9"",""speed"":""60.0 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""5 : 8"",""speed"":""55.6 km/h"",""res"":""Punkt: D. Budziak""},{""type"":""rally"",""score"":""4 : 8"",""speed"":""-"",""res"":""Błąd: P. Bukowski""},{""type"":""chg"",""score"":""3 : 8"",""txt"":""Zmiana: D. Budziak ⇄ M. Literski""},{""type"":""chg"",""score"":""3 : 8"",""txt"":""Zmiana: T. Aksamit ⇄ M. Mikołajczak""},{""type"":""chg"",""score"":""3 : 8"",""txt"":""Zmiana: W. Białek ⇄ M. Figacz""},{""type"":""tmo"",""score"":""3 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""3 : 8"",""speed"":""54.6 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""chg"",""score"":""3 : 7"",""txt"":""Zmiana: P. Macura ⇄ W. Grzybowski""},{""type"":""tmo"",""score"":""3 : 7"",""txt"":""Czas dla: SKS Iłżanka Baranów""},{""type"":""rally"",""score"":""3 : 7"",""speed"":""60.9 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""3 : 6"",""speed"":""56.7 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""3 : 5"",""speed"":""54.7 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""3 : 4"",""speed"":""48.4 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""2 : 4"",""speed"":""-"",""res"":""Błąd: A. Kędzierski""},{""type"":""rally"",""score"":""1 : 4"",""speed"":""50.1 km/h"",""res"":""Punkt: M. Ćwiok""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""45.1 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""48.0 km/h"",""res"":""Punkt: A. Kędzierski""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""44.3 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: M. Figacz ⇄ W. Białek""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: M. Mikołajczak ⇄ T. Aksamit""},{""type"":""tmo"",""score"":""1 : 0"",""txt"":""Czas dla: Iskra Krosno""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""56.6 km/h"",""res"":""Punkt: W. Białek""}]},{""rallies"":[{""type"":""end"",""score"":""22 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""end"",""score"":""22 : 25"",""txt"":""Koniec seta 0 : 2""},{""type"":""rally"",""score"":""22 : 25"",""speed"":""45.7 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""22 : 24"",""speed"":""-"",""res"":""Błąd: W. Białek""},{""type"":""rally"",""score"":""22 : 23"",""speed"":""-"",""res"":""Błąd: D. Swiątek""},{""type"":""rally"",""score"":""21 : 23"",""speed"":""62.1 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""21 : 22"",""speed"":""47.3 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""21 : 21"",""speed"":""49.6 km/h"",""res"":""Punkt: W. Halman""},{""type"":""rally"",""score"":""20 : 21"",""speed"":""49.1 km/h"",""res"":""Punkt: M. Ćwiok""},{""type"":""rally"",""score"":""20 : 20"",""speed"":""52.0 km/h"",""res"":""Punkt: W. Białek""},{""type"":""tmo"",""score"":""19 : 20"",""txt"":""Czas dla: Iskra Krosno""},{""type"":""rally"",""score"":""19 : 20"",""speed"":""68.5 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""19 : 19"",""speed"":""56.9 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""rally"",""score"":""18 : 19"",""speed"":""-"",""res"":""Błąd: P. Bukowski""},{""type"":""rally"",""score"":""17 : 19"",""speed"":""48.6 km/h"",""res"":""Punkt: O. Antunes""},{""type"":""rally"",""score"":""17 : 18"",""speed"":""53.6 km/h"",""res"":""Punkt: M. Ćwiok""},{""type"":""rally"",""score"":""17 : 17"",""speed"":""57.9 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""17 : 16"",""speed"":""47.3 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""17 : 15"",""speed"":""62.1 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""tmo"",""score"":""16 : 15"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 15"",""speed"":""67.2 km/h"",""res"":""Błąd: P. Bukowski""},{""type"":""rally"",""score"":""15 : 15"",""speed"":""52.3 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""15 : 14"",""speed"":""52.5 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""14 : 14"",""speed"":""50.0 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""14 : 13"",""speed"":""49.7 km/h"",""res"":""Punkt: W. Halman""},{""type"":""rally"",""score"":""13 : 13"",""speed"":""-"",""res"":""Błąd: D. Swiątek""},{""type"":""rally"",""score"":""12 : 13"",""speed"":""49.3 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""12 : 12"",""speed"":""57.7 km/h"",""res"":""Błąd: D. Swiątek""},{""type"":""rally"",""score"":""11 : 12"",""speed"":""57.4 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""10 : 12"",""speed"":""44.9 km/h"",""res"":""Punkt: P. Macura""},{""type"":""rally"",""score"":""9 : 12"",""speed"":""61.5 km/h"",""res"":""Błąd: T. Aksamit""},{""type"":""rally"",""score"":""9 : 11"",""speed"":""55.4 km/h"",""res"":""Błąd: W. Halman""},{""type"":""rally"",""score"":""9 : 10"",""speed"":""46.5 km/h"",""res"":""Punkt: A. Kędzierski""},{""type"":""rally"",""score"":""9 : 9"",""speed"":""-"",""res"":""Błąd: P. Macura""},{""type"":""rally"",""score"":""9 : 8"",""speed"":""50.9 km/h"",""res"":""Punkt: W. Białek""},{""type"":""rally"",""score"":""8 : 8"",""speed"":""53.6 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""chg"",""score"":""7 : 8"",""txt"":""Zmiana: D. Budziak ⇄ M. Literski""},{""type"":""tmo"",""score"":""7 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""7 : 8"",""speed"":""66.1 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""7 : 7"",""speed"":""56.9 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""rally"",""score"":""6 : 7"",""speed"":""54.1 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""chg"",""score"":""5 : 7"",""txt"":""Zmiana: P. Macura ⇄ W. Grzybowski""},{""type"":""rally"",""score"":""5 : 7"",""speed"":""52.0 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""chg"",""score"":""5 : 6"",""txt"":""Zmiana: T. Aksamit ⇄ M. Mikołajczak""},{""type"":""chg"",""score"":""5 : 6"",""txt"":""Zmiana: W. Białek ⇄ M. Figacz""},{""type"":""rally"",""score"":""5 : 6"",""speed"":""-"",""res"":""Błąd: A. Kędzierski""},{""type"":""tmo"",""score"":""4 : 6"",""txt"":""Czas dla: SKS Iłżanka Baranów""},{""type"":""rally"",""score"":""4 : 6"",""speed"":""64.8 km/h"",""res"":""Błąd: M. Literski""},{""type"":""rally"",""score"":""4 : 5"",""speed"":""56.1 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""4 : 4"",""speed"":""54.8 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""4 : 3"",""speed"":""51.9 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""3 : 3"",""speed"":""49.2 km/h"",""res"":""Błąd: P. Bukowski""},{""type"":""rally"",""score"":""2 : 3"",""speed"":""57.5 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""51.0 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""0 : 3"",""speed"":""53.3 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""0 : 2"",""speed"":""53.7 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: D. Dutra ⇄ R. Bobrowski""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: M. Figacz ⇄ W. Białek""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: M. Mikołajczak ⇄ T. Aksamit""},{""type"":""tmo"",""score"":""0 : 1"",""txt"":""Czas dla: Iskra Krosno""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""52.5 km/h"",""res"":""Punkt: R. Bobrowski""}]},{""rallies"":[{""type"":""end"",""score"":""8 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""end"",""score"":""8 : 25"",""txt"":""Koniec seta 0 : 3""},{""type"":""rally"",""score"":""8 : 25"",""speed"":""54.5 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""8 : 24"",""speed"":""52.5 km/h"",""res"":""Błąd: B. Siama""},{""type"":""rally"",""score"":""8 : 23"",""speed"":""45.4 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""8 : 22"",""speed"":""56.4 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""8 : 21"",""speed"":""54.0 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""tmo"",""score"":""8 : 20"",""txt"":""Czas dla: Iskra Krosno""},{""type"":""rally"",""score"":""8 : 20"",""speed"":""55.9 km/h"",""res"":""Punkt: A. Kędzierski""},{""type"":""rally"",""score"":""8 : 19"",""speed"":""49.4 km/h"",""res"":""Błąd: D. Budziak""},{""type"":""rally"",""score"":""8 : 18"",""speed"":""52.4 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""8 : 17"",""speed"":""51.1 km/h"",""res"":""Punkt: O. Antunes""},{""type"":""tmo"",""score"":""8 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 16"",""speed"":""51.7 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""8 : 15"",""speed"":""54.4 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""8 : 14"",""speed"":""45.9 km/h"",""res"":""Punkt: O. Antunes""},{""type"":""rally"",""score"":""8 : 13"",""speed"":""45.4 km/h"",""res"":""Punkt: O. Antunes""},{""type"":""rally"",""score"":""8 : 12"",""speed"":""47.0 km/h"",""res"":""Błąd: D. Budziak""},{""type"":""rally"",""score"":""8 : 11"",""speed"":""50.2 km/h"",""res"":""Punkt: P. Bukowski""},{""type"":""rally"",""score"":""8 : 10"",""speed"":""-"",""res"":""Błąd: T. Aksamit""},{""type"":""rally"",""score"":""8 : 9"",""speed"":""47.7 km/h"",""res"":""Punkt: B. Siama""},{""type"":""rally"",""score"":""7 : 9"",""speed"":""57.5 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""rally"",""score"":""6 : 9"",""speed"":""47.5 km/h"",""res"":""Błąd: T. Aksamit""},{""type"":""chg"",""score"":""6 : 8"",""txt"":""Zmiana: D. Budziak ⇄ M. Literski""},{""type"":""tmo"",""score"":""6 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""6 : 8"",""speed"":""58.8 km/h"",""res"":""Punkt: A. Kędzierski""},{""type"":""rally"",""score"":""6 : 7"",""speed"":""47.5 km/h"",""res"":""Błąd: M. Ćwiok""},{""type"":""rally"",""score"":""5 : 7"",""speed"":""60.3 km/h"",""res"":""Punkt: T. Aksamit""},{""type"":""chg"",""score"":""4 : 7"",""txt"":""Zmiana: P. Macura ⇄ W. Grzybowski""},{""type"":""chg"",""score"":""4 : 7"",""txt"":""Zmiana: T. Aksamit ⇄ M. Mikołajczak""},{""type"":""chg"",""score"":""4 : 7"",""txt"":""Zmiana: W. Białek ⇄ M. Figacz""},{""type"":""tmo"",""score"":""4 : 7"",""txt"":""Czas dla: SKS Iłżanka Baranów""},{""type"":""rally"",""score"":""4 : 7"",""speed"":""58.6 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""4 : 6"",""speed"":""44.7 km/h"",""res"":""Punkt: A. Miarka""},{""type"":""rally"",""score"":""4 : 5"",""speed"":""50.7 km/h"",""res"":""Punkt: D. Swiątek""},{""type"":""rally"",""score"":""4 : 4"",""speed"":""52.4 km/h"",""res"":""Punkt: M. Mikołajczak""},{""type"":""rally"",""score"":""3 : 4"",""speed"":""57.6 km/h"",""res"":""Punkt: W. Grzybowski""},{""type"":""rally"",""score"":""2 : 4"",""speed"":""-"",""res"":""Błąd: B. Siama""},{""type"":""rally"",""score"":""2 : 3"",""speed"":""44.0 km/h"",""res"":""Punkt: M. Literski""},{""type"":""rally"",""score"":""1 : 3"",""speed"":""-"",""res"":""Błąd: W. Halman""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""65.6 km/h"",""res"":""Punkt: M. Literski""},{""type"":""rally"",""score"":""0 : 2"",""speed"":""44.9 km/h"",""res"":""Punkt: M. Ćwiok""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: A. Miarka ⇄ R. Bobrowski""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: M. Figacz ⇄ W. Białek""},{""type"":""chg"",""score"":""0 : 1"",""txt"":""Zmiana: M. Mikołajczak ⇄ T. Aksamit""},{""type"":""tmo"",""score"":""0 : 1"",""txt"":""Czas dla: Iskra Krosno""},{""type"":""rally"",""score"":""0 : 1"",""speed"":""50.2 km/h"",""res"":""Punkt: P. Bukowski""}]}]}","0","0","0","4","0","0","13","35","3","0","13","0","0","0","56.6","51","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","14","1","7","21","59","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","0","3","25","21","19","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.5","SKS Iłżanka Baranów vs Iskra Krosno 0:3","707684","2025-10-25 17:00","Volley Arena","SKS Iłżanka Baranów","128715","Halman, Wojciech","1685433","3","-1","11","1","0","57.5","11","3","2","18","-9","9","8","3","1","0","33","7","0","100","2","29","1","13","41","0","0","0","0","0","0","0","5.7","","0","0","0","1","0","0","13","41","1","0","12","0","0","1","57.5","50.8","1","1","2","1","5","10","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","1","2","7","3","0","2","0","0","1","0","0","0","0","0","0","3","10","15","7","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.5","SKS Iłżanka Baranów vs Iskra Krosno 0:3","707684","2025-10-25 17:00","Volley Arena","SKS Iłżanka Baranów","128715","Siama, Bronisław","1903744","12","4","7","1","0","62.1","25","7","6","24","-4","3","1","0","2","0","0","0","0","0","0","0","6","32","45","1","0","2","0","0","1","1","17.7","","0","0","0","2","0","0","32","45","6","0","29","0","0","3","62.1","54.2","1","0","3","0","8","12","0","0","2","0","0","2","0","0","0","0","0","0","5","1","1","0","4","11","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","12","12","11","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.5","SKS Iłżanka Baranów vs Iskra Krosno 0:3","707684","2025-10-25 17:00","Volley Arena","SKS Iłżanka Baranów","128715","Literski, Maksymilian","1865081","2","0","4","0","0","66.1","6","2","2","33","0","3","3","1","0","0","33","0","0","0","0","0","0","8","16","0","0","0","0","0","0","0","1.8","","0","0","0","0","0","0","8","16","0","0","7","0","0","1","66.1","56.5","1","0","1","0","1","3","0","0","0","0","0","0","1","1","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","3","1","4","5","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.5","SKS Iłżanka Baranów vs Iskra Krosno 0:3","707684","2025-10-25 17:00","Volley Arena","SKS Iłżanka Baranów","128715","Grzybowski, Wojciech","1928921","1","-2","0","0","0","0","1","0","0","0","0","5","3","1","2","0","20","12","3","75","2","17","1","9","13","0","0","0","0","0","0","0","2.2","","0","0","0","2","0","0","9","13","1","0","8","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","2","3","9","1","0","0","0","0","1","0","0","0","0","0","0","3","5","4","6","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.5","SKS Iłżanka Baranów vs Iskra Krosno 0:3","707684","2025-10-25 17:00","Volley Arena","SKS Iłżanka Baranów","128715","Aksamit, Tadeusz","1903662","12","6","8","1","0","57.7","17","5","9","53","24","1","0","0","1","1","100","0","0","0","0","0","3","19","26","0","0","0","0","0","0","0","23.7","","0","0","1","1","0","0","19","26","3","0","19","0","0","0","57.7","51.8","1","0","0","0","0","1","0","1","1","0","0","2","0","0","0","0","0","0","8","1","2","0","3","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","8","13","5","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.5","SKS Iłżanka Baranów vs Iskra Krosno 0:3","707684","2025-10-25 17:00","Volley Arena","SKS Iłżanka Baranów","128715","Waśko, Ryszard","1685898","0","0","0","0","0","0","0","0","0","0","0","19","15","5","4","1","32","7","0","100","0","0","0","0","0","0","0","0","0","0","0","0","7.2","","1","1","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","2","7","5","2","2","1","0","0","1","0","1","0","0","0","3","3","9","10","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.5","SKS Iłżanka Baranów vs Iskra Krosno 0:3","707684","2025-10-25 17:00","Volley Arena","SKS Iłżanka Baranów","128715","Macura, Paweł","1950589","1","-3","7","1","0","58.8","2","1","1","50","0","8","6","1","2","0","13","40","2","95","11","28","0","10","22","0","0","0","0","0","0","0","15.9","","0","0","0","2","0","0","10","22","0","0","10","0","0","0","58.8","52.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","2","0","0","0","0","0","0","1","12","13","12","38","1","0","1","0","0","0","0","0","0","0","0","0","3","19","17","16","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.5","SKS Iłżanka Baranów vs Iskra Krosno 0:3","707684","2025-10-25 17:00","Volley Arena","SKS Iłżanka Baranów","128715","Figacz, Marcin","1681993","0","0","1","0","0","44.3","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","4","4","4","17","2","5","4","6","0","","0","0","0","0","0","0","1","4","0","0","1","0","0","0","44.3","44.3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","1","8","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","6","7","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
"3.5","SKS Iłżanka Baranów vs Iskra Krosno 0:3","707684","2025-10-25 17:00","Volley Arena","SKS Iłżanka Baranów","128715","Mikołajczak, Maciej","1904946","1","0","0","0","0","0","4","1","1","25","0","1","0","0","1","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0.5","","0","0","0","1","0","0","1","5","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","2","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","bulk-1.27-teamid-from-league-list","0","0","0"
