"SeasonId","Liga","MatchId","Date","Arena","HomeTeam","HomeTeamId","AwayTeam","AwayTeamId","Score","HomeSets","AwaySets","HomeMP","AwayMP","SourceFile","Key"
"194","1.1","1213599","2026-09-01 19:00","Qweta","VC Kittens","128580","Dzikie Rumaxy","128638","1:3","1","3","81","102","baza_1_1.csv","1.1|1213599"
"194","1.1","1213600","2026-09-01 19:00","The Orchid","DHARMA Initiative","128577","Dano Dream Team","130607","3:1","3","1","96","82","baza_1_1.csv","1.1|1213600"
"194","1.1","1213601","2026-09-01 19:00","Mordor","Kuźnia Byków","130744","AKS Volley Łódź","131002","3:1","3","1","97","70","baza_1_1.csv","1.1|1213601"
"194","1.1","1213602","2026-09-01 19:00","Bugaj Arena","Pilica Koniecpol","130885","Karasuno","128635","3:2","3","2","109","100","baza_1_1.csv","1.1|1213602"
"194","1.1","1213603","2026-09-01 19:00","Hala im. TW Bolka","Bolek i lolek 🤙","128586","Millennium Siemianowice","130955","3:1","3","1","103","97","baza_1_1.csv","1.1|1213603"
"194","1.1","1213604","2026-09-01 19:00","Ragnarok","Vikings","128756","RKS","128588","3:1","3","1","92","86","baza_1_1.csv","1.1|1213604"
"194","1.1","1213605","2026-09-01 19:00","Ping Pong Arena","Najlepsi z Najlepszych","130520","Sprzeda Mecz","128663","3:0","3","0","76","62","baza_1_1.csv","1.1|1213605"
"194","1.1","1213606","2026-09-01 19:00","Arena of Rzeplin","Tsunami Rzeplin","128717","☣️ MY TU TEGO BAGNO 💩💩    🔝","130911","0:3","0","3","64","75","baza_1_1.csv","1.1|1213606"
"194","2.1","1213839","2026-09-01 19:00","LukArena","LukTeam","131134","VC BORDER","128622","2:3","2","3","100","105","baza_2_1.csv","2.1|1213839"
"194","2.1","1213840","2026-09-01 19:00","Olimp Arena","UKS Olimp Ostrołęka","128604","Smerfy","128764","1:3","1","3","75","100","baza_2_1.csv","2.1|1213840"
"194","2.1","1213841","2026-09-01 19:00","Piekło","Saracens","128615","Vernixo","128679","3:1","3","1","98","72","baza_2_1.csv","2.1|1213841"
"194","2.1","1213842","2026-09-01 19:00","Konarzewo Arena","KS Konarzewo","137342","Groszowice Soreide","130604","2:3","2","3","105","105","baza_2_1.csv","2.1|1213842"
"194","2.1","1213843","2026-09-01 19:00","MotoArena","FC Świętopełka 🔥","128802","Miesiany Miesiany","128676","2:3","2","3","102","104","baza_2_1.csv","2.1|1213843"
"194","2.1","1213844","2026-09-01 19:00","Urania","CF Mleczne Olsztyn","128668","Hydra VT Gdańsk","128612","3:2","3","2","98","96","baza_2_1.csv","2.1|1213844"
"194","2.1","1213845","2026-09-01 19:00","Kolonia Arena","Volley Królewscy Jedlnia","130524","Stocznia Gdańsk","130595","0:3","0","3","61","76","baza_2_1.csv","2.1|1213845"
