"CapturedAt","SeasonId","Liga","LeagueId","Round","Team","TeamId","Player","PlayerId","Position","Age","HeightCm","Salary","Value","ExporterVersion"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Pilica Koniecpol","130885","Abreu, Nelson","1928516","L","25","177","347356","793247","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Vikings","128756","Aleksić, Siniša","2004222","P","22","204","142076","123401","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","VC Kittens","128580","Aleksiuk, Patryk","1745575","P","27","189","69375","148950","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","RKS","128588","Alkimim, Damião","1950437","S","24","180","881111","558792","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Bolek i lolek 🤙","128586","Altenburg, Felix","1928597","L","24","175","344756","705669","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","AKS Volley Łódź","131002","Altera, Néstor","1905302","O","25","206","94525","192771","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","AKS Volley Łódź","131002","Andrzejuk, Andrzej","1745556","Ś","27","216","775542","257732","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","RKS","128588","Arent, Wiesław","2054228","Ś","23","190","1325","4822","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","AKS Volley Łódź","131002","Armendáriz, Miguel","1928558","L","25","180","227875","455750","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","RKS","128588","Arya, Tufan","1904942","P","26","208","80968","169376","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","VC Kittens","128580","Asel, Aslan","1950848","L","24","179","341784","710989","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","☣️ MY TU TEGO BAGNO 💩💩 🔝","130911","Ashton, Jacob","1929135","Ś","24","214","137502","295490","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","☣️ MY TU TEGO BAGNO 💩💩 🔝","130911","Augustyniak, Andrzej","2003220","Ś","22","211","150829","318309","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Vikings","128756","Avelino, Otaviano","2004097","P","22","201","201831","138363","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Pilica Koniecpol","130885","Babis, Mateusz","1685874","L","28","185","318634","688651","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Tsunami Rzeplin","128717","Baron, Dawid","1865808","P","27","188","55992","115877","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Karasuno","128635","Bąk, Karol","1950004","P","24","180","57525","117026","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Pilica Koniecpol","130885","Bednarek, Dawid","1767686","P","28","200","13615","38900","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Bolek i lolek 🤙","128586","Bekyarov, Todor","1950488","L","24","176","212467","437684","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","DHARMA Initiative","128577","Benek, Şahin","1709974","S","28","188","287302","581065","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Dano Dream Team","130607","Bichta, Wojciech","1768020","Ś","27","213","119527","251859","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Kuźnia Byków","130744","Biegański, Adam","1928039","Ś","25","216","241233","496244","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Dzikie Rumaxy","128638","Bifu, Takenori","1865491","S","26","196","1003663","714855","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Dzikie Rumaxy","128638","Blackman, Bobby","1951123","S","23","195","150020","315971","bulk-1.28.1-player-finance-snapshots"
"2026-09-23T12:42:03.800Z","194","1.1","15198","13","Najlepsi z Najlepszych","130520","Bleja, Kacper","1684201","L","28","176","405991","811983","bulk-1.28.1-player-finance-snapshots"
