soldDate,playerId,name,country,position,age,heightCm,fromTeam,fromTeamId,toTeam,toTeamId,firstSeen,lastSeen,deadline,lastListPrice,soldPrice,value,salary,confirmedByTransferHistory,source,scanDate,scannedTeamId,scannedTeamName,direction
2026-06-04,2088573,"Ingraham, Max",ENG,R,18,187,Kuźnia Byków,130744,SKUP MŁODYCH TALENTÓW ORZYSZ🏐,130934,,,,,6295333,100915,50457,1,ClubTransferHistory,2026-06-04 18:30:15,130934,SKUP MŁODYCH TALENTÓW ORZYSZ🏐,z
2026-06-04,2060867,"Foucault, Jérôme",INT,Atakujący,19,213,Odds Ballklubb,138861,Januszanka Zawady,161770,,,,,472157,61249,24472,1,ClubTransferHistory,2026-06-04 18:29:49,138861,Odds Ballklubb,do
2026-06-04,2059835,"Makarewicz, Adam",POL,Ś,20,200,Pancio,128750,Januszanka Zawady,161770,,,,,410000,59504,23801,1,ClubTransferHistory,2026-06-04 18:29:54,128750,Pancio,do
2026-06-04,2087804,"Chulev, Nikolay",INT,L,19,184,Cvv,138928,Pampulha E.C.,130252,,,,,405904,158048,79024,1,ClubTransferHistory,2026-06-04 18:29:53,130252,Pampulha E.C.,z
2026-06-04,2087682,"Janković, Radoslav",SRB,Ś,19,201,Zakład Karny w Strzelinie,128751,Fc Dąbie,161769,,,,,55262,36088,12630,1,ClubTransferHistory,2026-06-04 18:30:45,128751,Zakład Karny w Strzelinie,do
2026-06-04,2088561,"Pietri, Pierre",FRA,R,17,197,Pachek Team,129085,Palinurense,128875,,,,,43803,62575,25030,1,ClubTransferHistory,2026-06-04 18:29:53,128875,Palinurense,z
2026-06-04,1904992,"Di Ninno, Tiziano",INT,Ś,24,212,Sharks Clain VB,137731,Januszanka Zawady,161770,,,,,31210,44959,15604,1,ClubTransferHistory,2026-06-04 18:30:13,137731,Sharks Clain VB,do
2026-06-04,2087499,"Peekel, Robbert",NED,P,19,181,RafaTeam Lipusz,130561,Januszanka Zawady,161770,,,,,21430,29155,10204,1,ClubTransferHistory,2026-06-04 18:30:01,130561,RafaTeam Lipusz,do
2026-06-04,2088622,"Konieczny, Jan",POL,Ś,18,203,Ale co,128694,Dolina Cisów,161783,,,,,19798,28283,9899,1,ClubTransferHistory,2026-06-04 18:28:14,128694,Ale co,do
2026-06-04,2088620,"Orona, Brant",USA,Ś,18,214,Joga Bonito,137493,Dolina Cisów,161783,,,,,18810,25592,8957,1,ClubTransferHistory,2026-06-04 18:29:25,137493,Joga Bonito,do
2026-06-03,1951274,"Taylor, Morgan",INT,R,22,190,Szare Bibipy,141037,Przebój Wolbrom,130621,,,,,24257841,205016,181934,1,ClubTransferHistory,2026-06-04 18:30:21,141037,Szare Bibipy,do
2026-06-03,1949228,"Rollmann, Korkmaz",GER,R,23,202,VC Breakpoint,129312,Ranczo Wilkowyje,130915,,,,,23521263,326728,176409,1,ClubTransferHistory,2026-06-04 18:30:32,129312,VC Breakpoint,do
2026-06-03,2060885,"Tianxian, Jingbo",CHN,Atakujący,19,209,Jeżomyszy🦔z Marsa🪐,130972,Carplife 🇵🇱,130954,,,,,23237932,94249,174284,1,ClubTransferHistory,2026-06-04 18:29:25,130972,Jeżomyszy🦔z Marsa🪐,do
2026-06-03,1864693,"Pressler, Reinert",GER,Ś,24,213,Smoczy Gród,131131,Die Freie Stadt Danzig,130661,,,,,9643206,147407,73010,1,ClubTransferHistory,2026-06-04 18:30:16,131131,Smoczy Gród,do
2026-06-03,2060629,"Assis, Wilson",BRA,Ś,19,206,Giggi Team,131304,Micuite Sport Club,130268,,,,,9495275,99754,71215,1,ClubTransferHistory,2026-06-04 18:29:17,131304,Giggi Team,do
2026-06-03,1928697,"Delgado, Pedro",POR,Ś,23,209,Raven,140853,MR Team,130725,,,,,5994746,82334,44961,1,ClubTransferHistory,2026-06-04 18:30:02,140853,Raven,do
2026-06-03,2003654,"Makulis, Achilleas",GRE,P,20,202,Massimone Roma,128823,Przebój Wolbrom,130621,,,,,5007092,73182,37553,1,ClubTransferHistory,2026-06-04 18:30:00,130621,Przebój Wolbrom,z
2026-06-03,2088220,"Lis, Daniel",POL,L,18,177,Jabuticaba Vôlei,130032,Porto FC,134164,,,,,4142637,143301,69107,1,ClubTransferHistory,2026-06-04 18:29:59,134164,Porto FC,z
2026-06-03,2060592,"Molendowski, Leon",POL,Ś,19,216,Giggi Team,131304,Volley Ball Gardéen,137678,,,,,1807529,80811,36364,1,ClubTransferHistory,2026-06-04 18:30:39,137678,Volley Ball Gardéen,z
2026-06-03,2060674,"Pieper, Włodzimierz",POL,Ś,19,212,Giggi Team,131304,Volleyno,131333,,,,,1246596,83754,37054,1,ClubTransferHistory,2026-06-04 18:30:41,131333,Volleyno,z
2026-06-03,2088602,"Despotović, Mitar",SRB,L,18,175,Korporacja Gwiazd Bezrobocia,128595,Przebój Wolbrom,130621,,,,,1075050,108498,54249,1,ClubTransferHistory,2026-06-04 18:30:00,130621,Przebój Wolbrom,z
2026-06-03,1864729,"Suski, Ksawery",POL,Atakujący,25,203,Braniewo Volley,141119,GyE de 4 de Enero,138833,,,,,578813,77250,34489,1,ClubTransferHistory,2026-06-04 18:29:19,138833,GyE de 4 de Enero,z
2026-06-03,2060653,"Potapowicz, Oliwier",POL,Ś,19,202,Przebój Wolbrom,130621,Benassi,129571,,,,,337310,49440,16865,1,ClubTransferHistory,2026-06-04 18:30:00,130621,Przebój Wolbrom,do
2026-06-03,1905269,"Rowicki, Kacper",POL,Atakujący,23,194,Petronas Eagles,140755,Bicep University,144532,,,,,153012,65740,26128,1,ClubTransferHistory,2026-06-04 18:29:55,140755,Petronas Eagles,do
2026-06-03,1949215,"Bury, Jędrzej",POL,P,23,201,DessauVolleys,129407,PKS Golebie,161774,,,,,114393,41166,14408,1,ClubTransferHistory,2026-06-04 18:29:03,129407,DessauVolleys,do
2026-06-03,1745275,"Leurs, Jérémy",FRA,L,26,185,IceTeam,129811,Masovia Kraszewice,161635,,,,,100403,136602,68301,1,ClubTransferHistory,2026-06-04 18:29:22,129811,IceTeam,do
2026-06-03,2087636,"Salzinger, Heini",GER,Ś,19,219,феди,129805,LEEDS SOFIA,130014,,,,,100000,41593,14557,1,ClubTransferHistory,2026-06-04 18:30:48,129805,феди,do
2026-06-03,2060521,"Supiot, Antoine",FRA,Ś,19,211,Giggi Team,131304,Sergipe Vôlei,130020,,,,,56966,59343,23132,1,ClubTransferHistory,2026-06-04 18:30:11,130020,Sergipe Vôlei,z
2026-06-03,2088610,"Avramov, Iliya",BUL,L,17,180,VC LOKOMOTIV SOFIA,129798,Porto FC,134164,,,,,55485,75488,33969,1,ClubTransferHistory,2026-06-04 18:30:33,129798,VC LOKOMOTIV SOFIA,do
2026-06-03,2004046,"Gaudêncio, Vicente",BRA,P,20,188,CWB Vôlei Clube,130060,VK Chemes Humenné,144692,,,,,50000,34418,12046,1,ClubTransferHistory,2026-06-04 18:29:01,130060,CWB Vôlei Clube,do
2026-06-03,1864836,"Hajduk, Janusz",POL,Atakujący,25,209,Jabuticaba Vôlei,130032,ZAKSA ŚWINOUJŚCIE,130896,,,,,48701,67441,26503,1,ClubTransferHistory,2026-06-04 18:30:45,130896,ZAKSA ŚWINOUJŚCIE,z
2026-06-03,2088191,"Povolo, Calogero",INT,Atakujący,18,194,Bahadir Volley,130389,PowerDucks,129316,,,,,44801,61042,24381,1,ClubTransferHistory,2026-06-04 18:29:59,129316,PowerDucks,z
2026-06-03,1745100,"Herbolzheim, Leon",GER,Atakujący,25,211,VC Breakpoint,129312,BeloryHills,138332,,,,,44750,60884,24353,1,ClubTransferHistory,2026-06-04 18:30:32,129312,VC Breakpoint,do
2026-06-03,2003260,"Widełka, Waldemar",POL,Atakujący,21,193,Atom Trefl Sopot,128661,Bicep University,144532,,,,,37924,54177,21670,1,ClubTransferHistory,2026-06-04 18:28:20,128661,Atom Trefl Sopot,do
