"Liga","Mecz","Data","Arena","Drużyna","Zawodnik","PlayerId","Pkt","W-L","Serwisy","S_błędy","Asy","MaxSpeed_kmh","Ataki","A_błędy","A_pkt","SK%","EF%","Próby_Obr_Asek","Próby_Obrony","Udane_Obrony","Próby_Asekuracji","Udane_Asekuracje","Obr_SK%","Przyjęcia","P_błędy","Poz%","Prf","Perf%","Bloki","Wybloki","Próby_Bloku","Wystawy_Udane","Wystawy_Złe","Wystawy_Tot","Rozegranie_Bez_Bloku","Rozegranie_Pojedynczy","Rozegranie_Podwójny","Rozegranie_Potrójny","MVP_Score","PBP_Data","D1_Asek_Kiwki_Udane","D1_Asek_Kiwki_Tot","D1_Asek_Bloku_Aktywnego_Udane","D1_Asek_Bloku_Aktywnego_Tot","D1_Asek_Bloku_Pasywnego_Udane","D1_Asek_Bloku_Pasywnego_Tot","D2_Ustawienie_Blok_Udane","D2_Ustawienie_Blok_Tot","D2_Blok_Aktywny_Udane","D2_Blok_Aktywny_Nieudane","D2_Blok_Aktywny_Tot","D2_Blok_Pasywny_Udane","D2_Blok_Pasywny_Nieudane","D2_Blok_Pasywny_Tot","O1_Serwis_Max_kmh","O1_Serwis_Śr_kmh","O1_Kiwka_Udane","O1_Kiwka_Błędy","O1_Kiwka_Zablokowane_Skutecznie","O1_Kiwka_Zablokowane_Nieskutecznie","O1_Kiwka_Wyasekurowane","O1_Kiwka_Tot","O1_Atak_BlokAut_Udane","O1_Atak_BlokAut_Błędy","O1_Atak_BlokAut_Zablokowane","O1_Atak_BlokAut_Zablokowane_Nieskutecznie","O1_Atak_BlokAut_Wybronione","O1_Atak_BlokAut_Tot","O2_Atak_1Linia_Skrzydło_Udane","O2_Atak_1Linia_Skrzydło_Błędy","O2_Atak_1Linia_Skrzydło_Zablokowane","O2_Atak_1Linia_Skrzydło_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Skrzydło_Wybronione","O2_Atak_1Linia_Skrzydło_Tot","O2_Atak_1Linia_Środek_Udane","O2_Atak_1Linia_Środek_Błędy","O2_Atak_1Linia_Środek_Zablokowane","O2_Atak_1Linia_Środek_Zablokowane_Nieskutecznie","O2_Atak_1Linia_Środek_Wybronione","O2_Atak_1Linia_Środek_Tot","O2_Atak_2Linia_Udane","O2_Atak_2Linia_Błędy","O2_Atak_2Linia_Zablokowane","O2_Atak_2Linia_Zablokowane_Nieskutecznie","O2_Atak_2Linia_Wybronione","O2_Atak_2Linia_Tot","OTH_Wystawa_Punkt","OTH_Wystawa_Atakujący_Zablokowany","OTH_Wystawa_Atakujący_Nieskutecznie_Zablokowany","OTH_Wystawa_Atakujący_Błąd","OTH_Wystawa_Atak_Obroniony","OTH_Rozegranie_Tot","Sety_Zagrane_PBP","PBP_Set1_Akcje","PBP_Set2_Akcje","PBP_Set3_Akcje","PBP_Set4_Akcje","PBP_Set5_Akcje","Is_Walkover","Walkover_MP_For","Walkover_MP_Against"
"reprezentacja_grupa3","Estonia vs England 3:0","2026-05-07 19:00","","Estonia","Veikat, Bruno","1903475","0","-1","16","1","0","59","0","0","0","0","0","18","11","4","7","1","28","0","0","0","0","0","0","26","58","46","11","113","19","44","30","20","2.6","{""sets"":[{""h"":25,""a"":22},{""h"":28,""a"":26},{""h"":25,""a"":22}],""parsedSets"":[{""rallies"":[{""type"":""end"",""score"":""25 : 22"",""txt"":""Koniec seta 1 : 0""},{""type"":""end"",""score"":""25 : 22"",""txt"":""Koniec seta 1 : 0""},{""type"":""rally"",""score"":""25 : 22"",""speed"":""96.9 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""24 : 22"",""speed"":""61.7 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""24 : 21"",""speed"":""68.3 km/h"",""res"":""Punkt: R. Odar""},{""type"":""rally"",""score"":""23 : 21"",""speed"":""58.5 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""22 : 21"",""speed"":""50.9 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""21 : 21"",""speed"":""61.2 km/h"",""res"":""Punkt: P. Cammell""},{""type"":""rally"",""score"":""21 : 20"",""speed"":""60.5 km/h"",""res"":""Punkt: R. Odar""},{""type"":""rally"",""score"":""20 : 20"",""speed"":""52.9 km/h"",""res"":""Punkt: J. Ashton""},{""type"":""rally"",""score"":""20 : 19"",""speed"":""57.0 km/h"",""res"":""Punkt: A. Reinbusch""},{""type"":""rally"",""score"":""19 : 19"",""speed"":""52.7 km/h"",""res"":""Punkt: L. Jordan""},{""type"":""rally"",""score"":""19 : 18"",""speed"":""49.9 km/h"",""res"":""Punkt: J. Ashton""},{""type"":""rally"",""score"":""19 : 17"",""speed"":""55.5 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""chg"",""score"":""18 : 17"",""txt"":""Zmiana: A. Reinbusch ⇄ K. Oese""},{""type"":""chg"",""score"":""18 : 17"",""txt"":""Zmiana: L. Noormägi ⇄ R. Chernichenko""},{""type"":""rally"",""score"":""18 : 17"",""speed"":""53.4 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""17 : 17"",""speed"":""70.5 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""16 : 17"",""speed"":""57.9 km/h"",""res"":""Błąd: V. Orro""},{""type"":""rally"",""score"":""16 : 16"",""speed"":""50.7 km/h"",""res"":""Punkt: J. Walton""},{""type"":""tmo"",""score"":""16 : 15"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 15"",""speed"":""51.0 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""15 : 15"",""speed"":""43.5 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""15 : 14"",""speed"":""49.2 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""15 : 13"",""speed"":""107.7 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""14 : 13"",""speed"":""-"",""res"":""Błąd: K. Lehepuu""},{""type"":""rally"",""score"":""14 : 12"",""speed"":""-"",""res"":""Błąd: J. Ashton""},{""type"":""rally"",""score"":""13 : 12"",""speed"":""67.1 km/h"",""res"":""Punkt: L. Jordan""},{""type"":""rally"",""score"":""13 : 11"",""speed"":""70.0 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""12 : 11"",""speed"":""62.0 km/h"",""res"":""Punkt: J. Ashton""},{""type"":""rally"",""score"":""12 : 10"",""speed"":""43.3 km/h"",""res"":""Punkt: J. Ashton""},{""type"":""rally"",""score"":""12 : 9"",""speed"":""51.9 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""11 : 9"",""speed"":""64.9 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""tmo"",""score"":""10 : 9"",""txt"":""Czas dla: Estonia""},{""type"":""rally"",""score"":""10 : 9"",""speed"":""60.1 km/h"",""res"":""Punkt: J. Hannen""},{""type"":""rally"",""score"":""10 : 8"",""speed"":""-"",""res"":""Błąd: V. Orro""},{""type"":""rally"",""score"":""10 : 7"",""speed"":""63.9 km/h"",""res"":""Błąd: J. Hannen""},{""type"":""tmo"",""score"":""9 : 7"",""txt"":""Czas dla: England""},{""type"":""rally"",""score"":""9 : 7"",""speed"":""59.1 km/h"",""res"":""Punkt: R. Odar""},{""type"":""tmo"",""score"":""8 : 7"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 7"",""speed"":""64.5 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""7 : 7"",""speed"":""62.0 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""6 : 7"",""speed"":""-"",""res"":""Błąd: J. Walton""},{""type"":""rally"",""score"":""5 : 7"",""speed"":""49.1 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""5 : 6"",""speed"":""62.2 km/h"",""res"":""Punkt: K. Oese""},{""type"":""rally"",""score"":""4 : 6"",""speed"":""57.3 km/h"",""res"":""Punkt: J. Hannen""},{""type"":""rally"",""score"":""4 : 5"",""speed"":""51.0 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""4 : 4"",""speed"":""70.8 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""3 : 4"",""speed"":""59.9 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""3 : 3"",""speed"":""58.4 km/h"",""res"":""Punkt: K. Oese""},{""type"":""rally"",""score"":""2 : 3"",""speed"":""48.4 km/h"",""res"":""Punkt: L. Jordan""},{""type"":""rally"",""score"":""2 : 2"",""speed"":""46.1 km/h"",""res"":""Punkt: R. Odar""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""48.6 km/h"",""res"":""Punkt: J. Ashton""},{""type"":""chg"",""score"":""1 : 1"",""txt"":""Zmiana: B. Church ⇄ R. McClelland""},{""type"":""chg"",""score"":""1 : 1"",""txt"":""Zmiana: P. Cammell ⇄ J. Edwards""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""45.6 km/h"",""res"":""Punkt: J. Ashton""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: R. McClelland ⇄ B. Church""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: J. Edwards ⇄ P. Cammell""},{""type"":""tmo"",""score"":""1 : 0"",""txt"":""Czas dla: England""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""51.4 km/h"",""res"":""Punkt: K. Lehepuu""}]},{""rallies"":[{""type"":""end"",""score"":""28 : 26"",""txt"":""Koniec seta 2 : 0""},{""type"":""end"",""score"":""28 : 26"",""txt"":""Koniec seta 2 : 0""},{""type"":""rally"",""score"":""28 : 26"",""speed"":""57.9 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""tmo"",""score"":""27 : 26"",""txt"":""Czas dla: England""},{""type"":""rally"",""score"":""27 : 26"",""speed"":""60.3 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""26 : 26"",""speed"":""44.3 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""25 : 26"",""speed"":""44.8 km/h"",""res"":""Punkt: K. Pearce""},{""type"":""rally"",""score"":""25 : 25"",""speed"":""111.0 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""24 : 25"",""speed"":""106.0 km/h"",""res"":""Punkt: P. Cammell""},{""type"":""rally"",""score"":""24 : 24"",""speed"":""57.3 km/h"",""res"":""Punkt: K. Pearce""},{""type"":""rally"",""score"":""24 : 23"",""speed"":""44.0 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""23 : 23"",""speed"":""60.3 km/h"",""res"":""Punkt: P. Travers""},{""type"":""rally"",""score"":""23 : 22"",""speed"":""-"",""res"":""Błąd: J. Hannen""},{""type"":""rally"",""score"":""22 : 22"",""speed"":""53.8 km/h"",""res"":""Punkt: P. Travers""},{""type"":""rally"",""score"":""22 : 21"",""speed"":""49.6 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""21 : 21"",""speed"":""51.1 km/h"",""res"":""Punkt: P. Travers""},{""type"":""rally"",""score"":""21 : 20"",""speed"":""54.8 km/h"",""res"":""Punkt: P. Travers""},{""type"":""rally"",""score"":""21 : 19"",""speed"":""48.4 km/h"",""res"":""Punkt: L. Noormägi""},{""type"":""rally"",""score"":""20 : 19"",""speed"":""47.3 km/h"",""res"":""Błąd: P. Travers""},{""type"":""rally"",""score"":""19 : 19"",""speed"":""50.4 km/h"",""res"":""Punkt: L. Noormägi""},{""type"":""rally"",""score"":""18 : 19"",""speed"":""42.3 km/h"",""res"":""Błąd: L. Noormägi""},{""type"":""rally"",""score"":""18 : 18"",""speed"":""54.2 km/h"",""res"":""Punkt: P. Travers""},{""type"":""rally"",""score"":""18 : 17"",""speed"":""54.2 km/h"",""res"":""Błąd: K. Lehepuu""},{""type"":""rally"",""score"":""18 : 16"",""speed"":""46.4 km/h"",""res"":""Punkt: P. Travers""},{""type"":""rally"",""score"":""18 : 15"",""speed"":""-"",""res"":""Błąd: V. Orro""},{""type"":""chg"",""score"":""18 : 14"",""txt"":""Zmiana: A. Reinbusch ⇄ K. Oese""},{""type"":""chg"",""score"":""18 : 14"",""txt"":""Zmiana: L. Noormägi ⇄ R. Chernichenko""},{""type"":""rally"",""score"":""18 : 14"",""speed"":""49.1 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""17 : 14"",""speed"":""61.3 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""tmo"",""score"":""16 : 14"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""16 : 14"",""speed"":""59.1 km/h"",""res"":""Punkt: V. Orro""},{""type"":""tmo"",""score"":""15 : 14"",""txt"":""Czas dla: Estonia""},{""type"":""rally"",""score"":""15 : 14"",""speed"":""43.2 km/h"",""res"":""Punkt: J. Hannen""},{""type"":""rally"",""score"":""15 : 13"",""speed"":""50.0 km/h"",""res"":""Punkt: K. Pearce""},{""type"":""rally"",""score"":""15 : 12"",""speed"":""52.0 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""14 : 12"",""speed"":""83.7 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""13 : 12"",""speed"":""63.0 km/h"",""res"":""Punkt: K. Pearce""},{""type"":""rally"",""score"":""13 : 11"",""speed"":""-"",""res"":""Błąd: P. Travers""},{""type"":""rally"",""score"":""12 : 11"",""speed"":""67.3 km/h"",""res"":""Punkt: P. Travers""},{""type"":""rally"",""score"":""12 : 10"",""speed"":""-"",""res"":""Błąd: J. Hannen""},{""type"":""rally"",""score"":""11 : 10"",""speed"":""54.5 km/h"",""res"":""Błąd: R. Chernichenko""},{""type"":""rally"",""score"":""11 : 9"",""speed"":""67.3 km/h"",""res"":""Punkt: R. Odar""},{""type"":""rally"",""score"":""10 : 9"",""speed"":""47.5 km/h"",""res"":""Punkt: P. Travers""},{""type"":""rally"",""score"":""10 : 8"",""speed"":""46.0 km/h"",""res"":""Błąd: P. Travers""},{""type"":""rally"",""score"":""9 : 8"",""speed"":""63.6 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""8 : 8"",""speed"":""63.5 km/h"",""res"":""Punkt: K. Pearce""},{""type"":""tmo"",""score"":""8 : 7"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""8 : 7"",""speed"":""63.6 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""7 : 7"",""speed"":""47.7 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""6 : 7"",""speed"":""46.5 km/h"",""res"":""Punkt: K. Pearce""},{""type"":""rally"",""score"":""6 : 6"",""speed"":""63.4 km/h"",""res"":""Punkt: R. Odar""},{""type"":""rally"",""score"":""5 : 6"",""speed"":""97.0 km/h"",""res"":""Punkt: P. Cammell""},{""type"":""rally"",""score"":""5 : 5"",""speed"":""72.1 km/h"",""res"":""Punkt: P. Cammell""},{""type"":""rally"",""score"":""5 : 4"",""speed"":""51.1 km/h"",""res"":""Punkt: K. Pearce""},{""type"":""rally"",""score"":""5 : 3"",""speed"":""43.7 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""4 : 3"",""speed"":""44.2 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""3 : 3"",""speed"":""58.3 km/h"",""res"":""Punkt: P. Travers""},{""type"":""chg"",""score"":""3 : 2"",""txt"":""Zmiana: L. Yates ⇄ L. Jordan""},{""type"":""rally"",""score"":""3 : 2"",""speed"":""51.5 km/h"",""res"":""Punkt: P. Cammell""},{""type"":""rally"",""score"":""3 : 1"",""speed"":""61.5 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""2 : 1"",""speed"":""51.0 km/h"",""res"":""Punkt: P. Travers""},{""type"":""rally"",""score"":""2 : 0"",""speed"":""58.9 km/h"",""res"":""Błąd: P. Travers""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: P. Travers ⇄ J. Ashton""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: K. Pearce ⇄ J. Walton""},{""type"":""tmo"",""score"":""1 : 0"",""txt"":""Czas dla: England""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""60.4 km/h"",""res"":""Punkt: R. Odar""}]},{""rallies"":[{""type"":""end"",""score"":""25 : 22"",""txt"":""Koniec seta 3 : 0""},{""type"":""end"",""score"":""25 : 22"",""txt"":""Koniec seta 3 : 0""},{""type"":""rally"",""score"":""25 : 22"",""speed"":""50.8 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""24 : 22"",""speed"":""-"",""res"":""Błąd: K. Lehepuu""},{""type"":""rally"",""score"":""24 : 21"",""speed"":""52.9 km/h"",""res"":""Błąd: J. Walton""},{""type"":""rally"",""score"":""23 : 21"",""speed"":""63.1 km/h"",""res"":""Punkt: R. Odar""},{""type"":""rally"",""score"":""22 : 21"",""speed"":""-"",""res"":""Błąd: L. Noormägi""},{""type"":""rally"",""score"":""22 : 20"",""speed"":""46.8 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""21 : 20"",""speed"":""44.0 km/h"",""res"":""Punkt: J. Ashton""},{""type"":""rally"",""score"":""21 : 19"",""speed"":""58.4 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""20 : 19"",""speed"":""46.4 km/h"",""res"":""Punkt: J. Ashton""},{""type"":""rally"",""score"":""20 : 18"",""speed"":""64.1 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""19 : 18"",""speed"":""53.8 km/h"",""res"":""Punkt: J. Hannen""},{""type"":""rally"",""score"":""19 : 17"",""speed"":""50.8 km/h"",""res"":""Punkt: V. Orro""},{""type"":""chg"",""score"":""18 : 17"",""txt"":""Zmiana: A. Reinbusch ⇄ K. Oese""},{""type"":""chg"",""score"":""18 : 17"",""txt"":""Zmiana: L. Noormägi ⇄ R. Chernichenko""},{""type"":""rally"",""score"":""18 : 17"",""speed"":""-"",""res"":""Błąd: L. Yates""},{""type"":""rally"",""score"":""17 : 17"",""speed"":""50.5 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""17 : 16"",""speed"":""47.4 km/h"",""res"":""Błąd: J. Walton""},{""type"":""tmo"",""score"":""16 : 16"",""txt"":""Czas dla: England""},{""type"":""rally"",""score"":""16 : 16"",""speed"":""53.3 km/h"",""res"":""Błąd: J. Walton""},{""type"":""rally"",""score"":""15 : 16"",""speed"":""48.6 km/h"",""res"":""Punkt: K. Oese""},{""type"":""rally"",""score"":""14 : 16"",""speed"":""53.7 km/h"",""res"":""Punkt: K. Oese""},{""type"":""rally"",""score"":""13 : 16"",""speed"":""94.1 km/h"",""res"":""Punkt: V. Orro""},{""type"":""tmo"",""score"":""12 : 16"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""12 : 16"",""speed"":""70.3 km/h"",""res"":""Punkt: P. Cammell""},{""type"":""rally"",""score"":""12 : 15"",""speed"":""-"",""res"":""Błąd: K. Lehepuu""},{""type"":""rally"",""score"":""12 : 14"",""speed"":""-"",""res"":""Błąd: J. Ashton""},{""type"":""rally"",""score"":""11 : 14"",""speed"":""51.8 km/h"",""res"":""Błąd: K. Lehepuu""},{""type"":""rally"",""score"":""11 : 13"",""speed"":""56.4 km/h"",""res"":""Błąd: R. Odar""},{""type"":""tmo"",""score"":""11 : 12"",""txt"":""Czas dla: Estonia""},{""type"":""rally"",""score"":""11 : 12"",""speed"":""52.9 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""11 : 11"",""speed"":""64.6 km/h"",""res"":""Punkt: J. Ashton""},{""type"":""rally"",""score"":""11 : 10"",""speed"":""62.7 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""10 : 10"",""speed"":""-"",""res"":""Błąd: B. Veikat""},{""type"":""rally"",""score"":""10 : 9"",""speed"":""46.6 km/h"",""res"":""Punkt: R. Chernichenko""},{""type"":""rally"",""score"":""9 : 9"",""speed"":""43.9 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""8 : 9"",""speed"":""59.9 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""7 : 9"",""speed"":""63.8 km/h"",""res"":""Punkt: J. Hannen""},{""type"":""rally"",""score"":""7 : 8"",""speed"":""-"",""res"":""Błąd: J. Walton""},{""type"":""tmo"",""score"":""6 : 8"",""txt"":""Czas dla: ""},{""type"":""rally"",""score"":""6 : 8"",""speed"":""-"",""res"":""Błąd: K. Oese""},{""type"":""rally"",""score"":""6 : 7"",""speed"":""59.0 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""5 : 7"",""speed"":""52.6 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""5 : 6"",""speed"":""51.1 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""4 : 6"",""speed"":""107.0 km/h"",""res"":""Punkt: V. Orro""},{""type"":""rally"",""score"":""3 : 6"",""speed"":""52.5 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""3 : 5"",""speed"":""65.8 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""3 : 4"",""speed"":""57.8 km/h"",""res"":""Punkt: K. Oese""},{""type"":""rally"",""score"":""2 : 4"",""speed"":""55.0 km/h"",""res"":""Punkt: J. Walton""},{""type"":""rally"",""score"":""2 : 3"",""speed"":""51.5 km/h"",""res"":""Błąd: K. Oese""},{""type"":""rally"",""score"":""2 : 2"",""speed"":""61.4 km/h"",""res"":""Punkt: K. Lehepuu""},{""type"":""rally"",""score"":""1 : 2"",""speed"":""53.3 km/h"",""res"":""Błąd: R. Odar""},{""type"":""rally"",""score"":""1 : 1"",""speed"":""59.0 km/h"",""res"":""Punkt: J. Ashton""},{""type"":""chg"",""score"":""1 : 0"",""txt"":""Zmiana: L. Yates ⇄ L. Jordan""},{""type"":""tmo"",""score"":""1 : 0"",""txt"":""Czas dla: England""},{""type"":""rally"",""score"":""1 : 0"",""speed"":""53.3 km/h"",""res"":""Punkt: K. Lehepuu""}]}]}","0","5","1","2","0","0","26","58","0","0","23","0","1","3","59","49.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","46","11","5","6","45","113","3","35","34","34","0","0","0","0","0"
"reprezentacja_grupa3","Estonia vs England 3:0","2026-05-07 19:00","","Estonia","Chernichenko, Rolf","1929602","1","-1","7","0","0","67.1","6","1","1","17","0","19","7","6","12","5","58","18","1","94","8","44","0","17","38","0","0","0","0","0","0","0","15.3","","3","8","2","3","0","1","17","38","0","0","15","0","0","2","67.1","56.6","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","4","0","0","0","0","0","0","0","0","1","0","1","2","0","0","0","0","0","0","3","13","13","13","0","0","0","0","0"
"reprezentacja_grupa3","Estonia vs England 3:0","2026-05-07 19:00","","Estonia","Lehepuu, Kurni","1864875","26","17","12","3","0","68.3","38","6","19","50","34","4","1","0","3","1","25","0","0","0","0","0","7","44","65","1","0","1","0","0","1","0","54.2","","0","0","0","2","1","1","44","65","6","0","35","1","1","9","68.3","60.7","6","0","1","0","3","10","1","1","1","1","1","5","0","0","0","0","0","0","10","1","2","1","9","23","0","0","0","0","0","0","1","0","0","0","0","1","3","18","16","15","0","0","0","0","0"
"reprezentacja_grupa3","Estonia vs England 3:0","2026-05-07 19:00","","Estonia","Odar, Ragnar","1724725","8","5","13","0","0","63","19","3","6","32","16","15","10","6","5","2","53","0","0","0","0","0","2","25","58","0","0","0","0","0","0","0","22.3","","2","4","0","1","0","0","25","58","2","1","21","0","0","4","63","51.7","1","0","1","0","1","3","0","0","0","0","0","0","4","2","0","0","7","13","0","0","0","0","0","0","1","0","0","0","2","3","0","0","0","0","0","0","3","11","13","15","0","0","0","0","0"
"reprezentacja_grupa3","Estonia vs England 3:0","2026-05-07 19:00","","Estonia","Oese, Kurni","1905845","6","1","6","1","0","52","10","2","4","40","20","11","7","5","4","3","73","20","2","90","7","35","2","29","42","0","0","0","0","0","0","0","21.2","","3","3","0","1","0","0","29","42","2","0","25","0","0","4","52","49.7","2","1","0","0","3","6","0","0","1","1","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","3","14","12","16","0","0","0","0","0"
"reprezentacja_grupa3","Estonia vs England 3:0","2026-05-07 19:00","","Estonia","Orro, Väino","1767055","25","18","17","2","1","64.5","38","5","23","61","47","5","1","0","4","3","60","0","0","0","0","0","1","33","51","0","0","0","0","0","0","0","53.1","","3","4","0","0","0","0","33","51","1","1","31","0","0","2","64.5","58.3","0","0","0","0","3","3","1","0","1","0","0","2","0","0","0","0","0","0","20","1","3","2","7","33","0","0","0","0","0","0","0","0","0","0","0","0","3","19","20","13","0","0","0","0","0"
"reprezentacja_grupa3","Estonia vs England 3:0","2026-05-07 19:00","","Estonia","Nool, Märt","1950343","0","0","0","0","0","0","0","0","0","0","0","32","14","9","18","12","66","4","0","100","1","25","0","0","0","3","0","4","0","0","3","1","14","","10","12","2","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","4","3","10","12","10","0","0","0","0","0"
"reprezentacja_grupa3","Estonia vs England 3:0","2026-05-07 19:00","","Estonia","Reinbusch, Aare","2004301","1","1","3","0","0","53.8","4","0","1","25","25","4","2","0","2","2","50","9","0","100","4","44","0","2","10","0","0","0","0","0","0","0","8","","2","2","0","0","0","0","2","10","0","0","2","0","0","0","53.8","49.8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","4","0","0","0","0","0","0","3","6","6","5","0","0","0","0","0"
"reprezentacja_grupa3","Estonia vs England 3:0","2026-05-07 19:00","","Estonia","Noormägi, Ludvig","2004052","2","0","3","1","0","61.2","3","0","1","33","33","3","2","0","1","0","0","12","1","92","6","50","1","10","26","0","0","0","0","0","0","0","8.8","","0","0","0","0","0","1","10","26","1","0","8","0","0","2","61.2","57.5","0","0","0","0","1","1","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","4","10","4","0","0","0","0","0"
"reprezentacja_grupa3","Estonia vs England 3:0","2026-05-07 19:00","","England","Riley, Frank","1974588","0","0","10","0","0","67.3","1","0","0","0","0","14","10","1","4","1","14","0","0","0","0","0","0","23","59","39","13","114","13","43","37","21","1.2","","1","2","0","2","0","0","23","59","0","1","21","0","0","2","67.3","58.1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","13","4","7","51","114","3","35","35","32","0","0","0","0","0"
